,Personal and Household Good Retailing,Business Services,Construction Trade Services,Food Retailing,Education,Health Services,"Accommodation, Cafes and Restaurants",Community Services,Metal Product Manufacturing,Personal and Household Good Wholesaling,Finance,Government Administration,Machinery and Equipment Manufacturing,Road Transport,Property Services,General Construction,Services to Finance and Insurance,Communication Services,"Libraries, Museums and the Arts",Other Services,Defence,Machinery and Motor Vehicle Wholesaling,Motor Vehicle Retailing and Services,Sport and Recreation,"Petroleum, Coal, Chemical and Associated Product Manufacturing","Printing, Publishing and Recorded Media","Food, Beverage and Tobacco Manufacturing","Water Supply, Sewerage and Drainage Services",Air and Space Transport,Commercial Fishing,"Motion Picture, Radio and Television Services",Personal and Household Good Retailing (%),Business Services (%),Construction Trade Services (%),Food Retailing (%),Education (%),Health Services (%),"Accommodation, Cafes and Restaurants (%)",Community Services (%),Metal Product Manufacturing (%),Personal and Household Good Wholesaling (%),Finance (%),Government Administration (%),Machinery and Equipment Manufacturing (%),Road Transport (%),Property Services (%),General Construction (%),Services to Finance and Insurance (%),Communication Services (%),"Libraries, Museums and the Arts (%)",Other Services (%),Defence (%),Machinery and Motor Vehicle Wholesaling (%),Motor Vehicle Retailing and Services (%),Sport and Recreation (%),"Petroleum, Coal, Chemical and Associated Product Manufacturing (%)","Printing, Publishing and Recorded Media (%)","Food, Beverage and Tobacco Manufacturing (%)","Water Supply, Sewerage and Drainage Services (%)",Air and Space Transport (%),Commercial Fishing (%),"Motion Picture, Radio and Television Services (%)"
Bolton Point,46,55,,33,59,38,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.4,,2.0,3.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
Bondi,281,857,,,291,302,398,,,,,,,,,,,,,,,,,,,,,,,,,3.7,11.1,,,3.8,3.9,5.2,,,,,,,,,,,,,,,,,,,,,,,,
Bondi Beach,332,"1,168",,,341,332,531,,,,,,,,,,,,,,,,,,,,,,,,,3.5,12.2,,,3.6,3.5,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Bondi Junction,244,801,,,216,262,277,,,,,,,,,,,,,,,,,,,,,,,,,3.6,11.9,,,3.2,3.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,
Bonnet Bay,111,208,,54,134,82,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,11.0,,2.9,7.1,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnyrigg,143,236,125,171,,,,,,,,,126,,,,,,,,,,,,,,,,,,,2.2,3.6,1.9,2.6,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,
Bonnyrigg Heights,169,237,165,174,,130,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.5,3.2,3.3,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Booker Bay,34,39,,30,,27,30,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.5,,2.7,,2.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,
Boolaroo,31,24,,42,,39,,,28,,,,,,,,,,,,,,,,,,,,,,,3.3,2.6,,4.5,,4.1,,,3.0,,,,,,,,,,,,,,,,,,,,,,
Booragul,,32,,23,,24,,25,23,,,,,,,,,,,,,,,,,,,,,,,,2.5,,1.8,,1.9,,2.0,1.8,,,,,,,,,,,,,,,,,,,,,,
Bossley Park,391,530,422,354,,331,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.8,3.8,3.2,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Botany,188,316,,,196,232,190,,,,,,,,,,,,,,,,,,,,,,,,,3.1,5.2,,,3.2,3.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,
Bow Bowing,47,58,42,,,,,,,,43,,39,,,,,,,,,,,,,,,,,,,4.0,4.9,3.6,,,,,,,,3.7,,3.3,,,,,,,,,,,,,,,,,,
Bradbury,300,347,230,257,345,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.9,3.2,3.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadmeadow,40,61,,,49,43,40,,,,,,,,,,,,,,,,,,,,,,,,,3.4,5.1,,,4.1,3.6,3.4,,,,,,,,,,,,,,,,,,,,,,,,
Bronte,192,678,,,302,285,221,,,,,,,,,,,,,,,,,,,,,,,,,3.4,11.9,,,5.3,5.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,
Brookvale,103,167,73,77,,62,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,8.0,3.5,3.7,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Budgewoi,77,,81,81,,53,79,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,3.3,3.3,,2.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,
Buff Point,75,78,81,84,,81,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.0,3.1,3.2,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Bulli,134,184,131,,243,174,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.4,3.1,,5.8,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Burwood,296,700,,,317,392,360,,,,,,,,,,,,,,,,,,,,,,,,,3.1,7.4,,,3.4,4.1,3.8,,,,,,,,,,,,,,,,,,,,,,,,
Burwood Heights,28,38,28,,35,37,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.7,3.5,,4.4,4.6,,,,,,,,,,,,,,,,,,,,,,,,,
Busby,54,84,55,74,,,,,,,,,52,,,,,,,,,,,,,,,,,,,1.8,2.9,1.9,2.5,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,
Cabarita,37,88,,,42,57,32,,,,,,,,,,,,,,,,,,,,,,,,,3.8,9.1,,,4.3,5.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,
Cabramatta,317,354,,319,,,252,,,,,,308,,,,,,,,,,,,,,,,,,,2.1,2.3,,2.1,,,1.7,,,,,,2.0,,,,,,,,,,,,,,,,,,
Cabramatta West,126,118,99,120,,,,,,,,,111,,,,,,,,,,,,,,,,,,,2.5,2.3,2.0,2.4,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,
Cambridge Gardens,87,101,66,60,,64,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,6.2,4.0,3.7,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Park,197,202,180,174,,163,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.3,3.8,3.7,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
Camden,70,88,71,,144,117,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.5,2.8,,5.8,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
Camden South,175,180,147,,287,188,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.9,4.0,,7.8,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
Cammeray,,907,,,208,205,196,,,,199,,,,,,,,,,,,,,,,,,,,,,17.6,,,4.0,4.0,3.8,,,,3.9,,,,,,,,,,,,,,,,,,,,
Campbelltown,271,344,,236,265,254,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,4.4,,3.0,3.4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
Camperdown,214,494,,,341,261,372,,,,,,,,,,,,,,,,,,,,,,,,,4.2,9.8,,,6.8,5.2,7.4,,,,,,,,,,,,,,,,,,,,,,,,
Campsie,499,778,,433,,358,627,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.7,,2.6,,2.2,3.8,,,,,,,,,,,,,,,,,,,,,,,,
