,Personal,Family,Household,Personal (%),Family (%),Household (%),SSC_CODE
Cameron Park,800.0,2136.0,2103.0,--,--,--,10775
Cooranbong,545.0,1468.0,1232.0,--,--,--,11052
Wyee,496.0,1428.0,1125.0,--,--,--,14438
Morisset,474.0,1093.0,799.0,--,--,--,12723
Wyee Point,631.0,1576.0,1450.0,--,--,--,14439
Mandalong,593.0,2013.0,1771.0,--,--,--,12465
Dora Creek,579.0,1367.0,1154.0,--,--,--,11277
Eraring,656.0,1774.0,1312.0,--,--,--,11429
Martinsville,698.0,1875.0,1702.0,--,--,--,12512
Blackalls Park,558.0,1427.0,1139.0,--,--,--,10390
Toronto,498.0,1237.0,1018.0,--,--,--,13918
Kilaben Bay,722.0,2004.0,1798.0,--,--,--,12125
Coal Point,767.0,2110.0,1801.0,--,--,--,10943
Awaba,606.0,1800.0,1597.0,--,--,--,10118
Carey Bay,554.0,1554.0,1206.0,--,--,--,10812
Buttaba,669.0,1799.0,1435.0,--,--,--,10723
Fishing Point,606.0,1470.0,1355.0,--,--,--,11526
Rathmines,594.0,1474.0,1287.0,--,--,--,13319
Wangi Wangi,579.0,1398.0,1174.0,--,--,--,14135
Arcadia Vale,612.0,1562.0,1366.0,--,--,--,10073
Balmoral (Lake Macquarie - NSW),667.0,1692.0,1543.0,--,--,--,10166
Holmesville,563.0,1414.0,1366.0,--,--,--,11924
Barnsley,627.0,1536.0,1402.0,--,--,--,10204
Seahampton,640.0,1597.0,1458.0,--,--,--,13511
West Wallsend,612.0,1431.0,1276.0,--,--,--,14253
Killingworth (NSW),680.0,1773.0,1757.0,--,--,--,12137
Wakefield,809.0,1968.0,1875.0,--,--,--,14088
Adamstown Heights,751.0,2095.0,1770.0,--,--,--,10017
Adamstown,698.0,1932.0,1404.0,--,--,--,10016
Kotara South,679.0,1819.0,1421.0,--,--,--,12201
Woodberry,479.0,1158.0,1032.0,--,--,--,14377
Beresfield,547.0,1269.0,1032.0,--,--,--,10301
Tarro,506.0,1223.0,975.0,--,--,--,13771
Hexham (NSW),437.0,1062.0,916.0,--,--,--,11898
Hamilton South,589.0,1927.0,1028.0,--,--,--,11841
Broadmeadow,675.0,1493.0,1288.0,--,--,--,10578
Hamilton East,784.0,2518.0,1792.0,--,--,--,11839
Newcastle West,749.0,1894.0,1306.0,--,--,--,12951
Hamilton North,776.0,1913.0,1452.0,--,--,--,11840
Hamilton (NSW),698.0,1876.0,1360.0,--,--,--,11838
New Lambton,725.0,1967.0,1449.0,--,--,--,12942
Lambton,693.0,1814.0,1341.0,--,--,--,12264
Jesmond,398.0,1046.0,850.0,--,--,--,12023
Maryland (Newcastle - NSW),628.0,1677.0,1501.0,--,--,--,12514
Fletcher (NSW),863.0,2317.0,2296.0,--,--,--,11533
Minmi,663.0,1797.0,1734.0,--,--,--,12638
Warabrook,564.0,1637.0,1391.0,--,--,--,14140
Mayfield West,616.0,1649.0,1310.0,--,--,--,12536
Mayfield (Newcastle - NSW),622.0,1547.0,1178.0,--,--,--,12530
Mayfield East,681.0,1676.0,1319.0,--,--,--,12534
Merewether Heights,923.0,2448.0,2173.0,--,--,--,12574
Merewether,888.0,2464.0,1830.0,--,--,--,12573
The Junction,886.0,2268.0,1582.0,--,--,--,13827
Cooks Hill,868.0,2262.0,1497.0,--,--,--,11019
Bar Beach,867.0,3022.0,1719.0,--,--,--,10187
Newcastle,1095.0,2467.0,1849.0,--,--,--,12949
The Hill,900.0,2223.0,1602.0,--,--,--,13826
Newcastle East,860.0,2336.0,1523.0,--,--,--,12950
Carrington (Newcastle - NSW),743.0,1870.0,1402.0,--,--,--,10830
Shortland,497.0,1330.0,1038.0,--,--,--,13542
Birmingham Gardens,434.0,1275.0,1061.0,--,--,--,10377
Sandgate (NSW),505.0,824.0,922.0,--,--,--,13474
North Lambton,545.0,1540.0,1275.0,--,--,--,12993
Stockton (NSW),642.0,1643.0,1286.0,--,--,--,13662
Fern Bay,544.0,1416.0,1049.0,--,--,--,11501
Fullerton Cove,502.0,1150.0,1082.0,--,--,--,11575
Wallsend,557.0,1420.0,1120.0,--,--,--,14118
Georgetown (NSW),690.0,1687.0,1381.0,--,--,--,11603
Waratah West,494.0,1348.0,1119.0,--,--,--,14142
Waratah (NSW),600.0,1572.0,1116.0,--,--,--,14141
Wickham (NSW),849.0,2080.0,1471.0,--,--,--,14285
Maryville,792.0,1883.0,1503.0,--,--,--,12518
Tighes Hill,666.0,1736.0,1372.0,--,--,--,13863
Islington,763.0,1621.0,1354.0,--,--,--,11990
Ballina,515.0,1166.0,819.0,--,--,--,10162
West Ballina,495.0,1133.0,943.0,--,--,--,14240
East Ballina,660.0,1554.0,1266.0,--,--,--,11345
Skennars Head,624.0,1687.0,1364.0,--,--,--,13554
Alstonville,570.0,1361.0,1069.0,--,--,--,10046
Wollongbar,647.0,1481.0,1280.0,--,--,--,14357
Wardell,492.0,1162.0,975.0,--,--,--,14144
East Wardell,552.0,1226.0,1145.0,--,--,--,11365
Empire Vale,495.0,1375.0,1224.0,--,--,--,11416
Meerschaum Vale,611.0,1552.0,1466.0,--,--,--,12556
Dalwood (Ballina - NSW),614.0,1839.0,1625.0,--,--,--,11195
Marom Creek,604.0,1583.0,1458.0,--,--,--,12499
Rous,725.0,1821.0,1600.0,--,--,--,13427
Pimlico (NSW),537.0,1399.0,1187.0,--,--,--,13207
Coolgardie (NSW),682.0,1437.0,1437.0,--,--,--,11031
Keith Hall,568.0,1375.0,1218.0,--,--,--,12086
Uralba,654.0,1421.0,1402.0,--,--,--,14050
Tuckombil,628.0,1600.0,1583.0,--,--,--,13947
Fernleigh,638.0,1531.0,1392.0,--,--,--,11508
Tintenbar,665.0,1769.0,1631.0,--,--,--,13878
Cumbalum,729.0,1891.0,1800.0,--,--,--,11154
Brooklet,795.0,2113.0,1875.0,--,--,--,10598
Knockrow,554.0,1343.0,1218.0,--,--,--,12178
Newrybar,663.0,1699.0,1468.0,--,--,--,12957
Alstonvale,694.0,1674.0,1421.0,--,--,--,10045
Teven,654.0,1821.0,1645.0,--,--,--,13807
Pearces Creek,624.0,1937.0,1208.0,--,--,--,13170
Lynwood (NSW),540.0,1517.0,1437.0,--,--,--,12427
Rous Mill,708.0,1575.0,1452.0,--,--,--,13428
Ewingsdale,699.0,1708.0,1592.0,--,--,--,11474
Eureka (NSW),640.0,1571.0,1368.0,--,--,--,11461
Coorabell,617.0,1480.0,1256.0,--,--,--,11051
Possum Creek,536.0,1218.0,1273.0,--,--,--,13252
Bangalow,691.0,1710.0,1401.0,--,--,--,10174
Coopers Shoot,704.0,1770.0,1375.0,--,--,--,11049
Skinners Shoot,561.0,1375.0,949.0,--,--,--,13556
Talofa,659.0,1562.0,1458.0,--,--,--,13739
Nashua,669.0,1408.0,1208.0,--,--,--,12914
Federal (NSW),620.0,1298.0,1184.0,--,--,--,11499
Binna Burra (NSW),532.0,1444.0,1312.0,--,--,--,10371
Brunswick Heads,530.0,1173.0,844.0,--,--,--,10621
Ocean Shores,570.0,1280.0,1096.0,--,--,--,13070
Tyagarah,521.0,1375.0,1020.0,--,--,--,13993
New Brighton,647.0,1728.0,1160.0,--,--,--,12939
South Golden Beach,606.0,1301.0,1130.0,--,--,--,13581
Wooyung,457.0,1166.0,556.0,--,--,--,14418
Byron Bay,621.0,1469.0,1197.0,--,--,--,10733
Suffolk Park,706.0,1723.0,1514.0,--,--,--,13684
Broken Head,627.0,1625.0,1395.0,--,--,--,10591
Woodburn (Richmond Valley - NSW),501.0,1205.0,1005.0,--,--,--,14379
Broadwater (Richmond Valley - NSW),502.0,1196.0,945.0,--,--,--,10580
Rileys Hill,490.0,1292.0,1274.0,--,--,--,13364
Evans Head,504.0,1211.0,900.0,--,--,--,11469
Bungawalbin,459.0,1042.0,843.0,--,--,--,10683
New Italy,615.0,1536.0,1160.0,--,--,--,12941
Swan Bay (Richmond Valley - NSW),497.0,1478.0,1359.0,--,--,--,13705
Doonbah,474.0,1125.0,772.0,--,--,--,11274
Lennox Head,724.0,1792.0,1577.0,--,--,--,12303
Myocum,552.0,1324.0,1139.0,--,--,--,12877
Billinudgel,588.0,1228.0,955.0,--,--,--,10355
Yelgun,480.0,1125.0,900.0,--,--,--,14499
The Pocket,575.0,1362.0,1083.0,--,--,--,13834
Middle Pocket,575.0,1374.0,1145.0,--,--,--,12606
Main Arm,515.0,1240.0,1006.0,--,--,--,12445
Upper Main Arm,470.0,1021.0,696.0,--,--,--,14035
Mullumbimby,520.0,1215.0,998.0,--,--,--,12828
Mullumbimby Creek,547.0,1341.0,1116.0,--,--,--,12829
Wilsons Creek,477.0,1224.0,1019.0,--,--,--,14310
Goonengerry,489.0,1125.0,846.0,--,--,--,11712
Huonbrook,461.0,933.0,725.0,--,--,--,11962
Whian Whian,543.0,1899.0,1406.0,--,--,--,14272
Yorklea,542.0,1226.0,1092.0,--,--,--,14517
Casino,487.0,1137.0,875.0,--,--,--,10843
North Casino,660.0,1668.0,1605.0,--,--,--,12987
Fairy Hill,517.0,1199.0,1118.0,--,--,--,11483
Bonalbo,434.0,864.0,725.0,--,--,--,10463
Coraki,461.0,1074.0,895.0,--,--,--,11063
Mallanganee,441.0,1031.0,743.0,--,--,--,12457
Dobies Bight,533.0,1350.0,1274.0,--,--,--,11262
Backmede,484.0,1375.0,1375.0,--,--,--,10130
Stratheden,506.0,1262.0,1187.0,--,--,--,13674
Woodview,626.0,1446.0,1375.0,--,--,--,14397
Bentley (NSW),463.0,1093.0,985.0,--,--,--,10298
Spring Grove,527.0,1422.0,1271.0,--,--,--,13614
Greenridge,608.0,1281.0,1187.0,--,--,--,11768
McKees Hill,590.0,1542.0,1420.0,--,--,--,12543
Tatham,634.0,1312.0,1125.0,--,--,--,13773
West Coraki,393.0,899.0,756.0,--,--,--,14243
Ellangowan (NSW),415.0,1034.0,1018.0,--,--,--,11400
Leeville,484.0,1266.0,1278.0,--,--,--,12295
Shannon Brook,494.0,1286.0,1100.0,--,--,--,13525
Rappville,377.0,866.0,725.0,--,--,--,13318
Goonellabah,576.0,1357.0,1096.0,--,--,--,11711
Chilcotts Grass,588.0,1825.0,1666.0,--,--,--,10903
Eden Creek,473.0,1275.0,971.0,--,--,--,11376
West Wiangaree,575.0,1416.0,1199.0,--,--,--,14254
Wiangaree,484.0,900.0,858.0,--,--,--,14283
Doubtful Creek,461.0,1062.0,1013.0,--,--,--,11282
Ettrick (NSW),428.0,1062.0,734.0,--,--,--,11448
Kyogle,465.0,1067.0,814.0,--,--,--,12229
Cedar Point,575.0,1452.0,1357.0,--,--,--,10871
Geneva,491.0,1210.0,988.0,--,--,--,11599
Upper Horseshoe Creek,383.0,866.0,824.0,--,--,--,14028
Barkers Vale,418.0,662.0,575.0,--,--,--,10201
Wadeville,355.0,725.0,525.0,--,--,--,14082
Lillian Rock,420.0,900.0,706.0,--,--,--,12323
Fawcetts Plain,615.0,1718.0,1542.0,--,--,--,11498
New Park,485.0,1208.0,774.0,--,--,--,12945
Homeleigh,480.0,1042.0,939.0,--,--,--,11931
Cawongla,417.0,1083.0,738.0,--,--,--,10864
Green Pigeon,432.0,1343.0,714.0,--,--,--,11752
Collins Creek,431.0,1021.0,966.0,--,--,--,10978
East Lismore,523.0,1348.0,1000.0,--,--,--,11358
Lismore (NSW),485.0,1187.0,838.0,--,--,--,12344
Lismore Heights,655.0,1365.0,1134.0,--,--,--,12345
South Lismore,481.0,1142.0,912.0,--,--,--,13589
Girards Hill,533.0,1323.0,1002.0,--,--,--,11631
Monaltrie,588.0,1547.0,1303.0,--,--,--,12674
North Lismore,477.0,1175.0,883.0,--,--,--,12994
Loftville,457.0,1021.0,486.0,--,--,--,12372
Modanville,589.0,1437.0,1259.0,--,--,--,12655
Clunes (NSW),643.0,1554.0,1383.0,--,--,--,10939
Terania Creek,465.0,1187.0,816.0,--,--,--,13794
The Channon,493.0,1333.0,939.0,--,--,--,13816
Koonorigan,604.0,1284.0,1069.0,--,--,--,12188
Rosebank,517.0,1208.0,1023.0,--,--,--,13401
Corndale (NSW),641.0,1593.0,1343.0,--,--,--,11076
East Coraki,559.0,1281.0,1140.0,--,--,--,11347
Tregeagle,684.0,1761.0,1569.0,--,--,--,13933
Wyrallah,606.0,1600.0,1420.0,--,--,--,14449
South Gundurimba,661.0,1520.0,1288.0,--,--,--,13585
Caniaba,699.0,1808.0,1645.0,--,--,--,10790
Blakebrook,537.0,1333.0,1083.0,--,--,--,10402
Booerie Creek,487.0,1196.0,1053.0,--,--,--,10475
Goolmangar,618.0,1406.0,1215.0,--,--,--,11708
Keerrong,541.0,1375.0,1166.0,--,--,--,12083
Tullera,677.0,1642.0,1357.0,--,--,--,13956
Bexhill,681.0,1562.0,1454.0,--,--,--,10333
Richmond Hill (NSW),744.0,1705.0,1703.0,--,--,--,13361
Boat Harbour (Lismore - NSW),568.0,1542.0,1550.0,--,--,--,10424
McLeans Ridges,737.0,1906.0,1934.0,--,--,--,12545
Eltham (NSW),645.0,2022.0,1536.0,--,--,--,11409
Lindendale,728.0,1946.0,1786.0,--,--,--,12336
Nimbin,434.0,927.0,651.0,--,--,--,12965
Stony Chute,444.0,1125.0,754.0,--,--,--,13667
Blue Knob,435.0,824.0,604.0,--,--,--,10416
Tuntable Creek,462.0,866.0,818.0,--,--,--,13971
Coffee Camp,469.0,1097.0,782.0,--,--,--,10958
Tucki Tucki,675.0,1416.0,1575.0,--,--,--,13946
Larnook,461.0,1083.0,747.0,--,--,--,12279
Georgica,454.0,1201.0,1029.0,--,--,--,11604
Jiggi,533.0,1350.0,1151.0,--,--,--,12026
Rock Valley,589.0,1462.0,1352.0,--,--,--,13378
Leycester,495.0,1333.0,1187.0,--,--,--,12314
Dunoon,549.0,1301.0,1040.0,--,--,--,11325
Dorroughby,602.0,1233.0,1140.0,--,--,--,11280
Numulgi,747.0,1656.0,1649.0,--,--,--,13041
Fingal Head,635.0,1516.0,1208.0,--,--,--,11519
Casuarina (NSW),866.0,2102.0,1913.0,--,--,--,10851
Kingscliff,628.0,1604.0,1230.0,--,--,--,12154
Chinderah,443.0,913.0,664.0,--,--,--,10905
Cudgen,635.0,1489.0,1435.0,--,--,--,11143
Murwillumbah,509.0,1260.0,957.0,--,--,--,12866
South Murwillumbah,496.0,1245.0,1042.0,--,--,--,13593
Bray Park (NSW),471.0,1138.0,933.0,--,--,--,10552
Smiths Creek (Tweed - NSW),494.0,1437.0,1014.0,--,--,--,13562
Mount Burrell,419.0,924.0,665.0,--,--,--,12749
Byrrill Creek,393.0,1041.0,737.0,--,--,--,10734
Pumpenbil,439.0,1125.0,857.0,--,--,--,13272
Tumbulgum,621.0,1558.0,1337.0,--,--,--,13964
Limpinwood,479.0,1208.0,962.0,--,--,--,12333
Tyalgum,422.0,955.0,900.0,--,--,--,13994
Dum Dum,479.0,1125.0,1104.0,--,--,--,11304
Byangum,384.0,1042.0,1104.0,--,--,--,10729
Eungella (NSW),450.0,988.0,1024.0,--,--,--,11460
Crystal Creek (NSW),531.0,1375.0,1125.0,--,--,--,11138
Chillingham,480.0,1020.0,850.0,--,--,--,10904
Stokers Siding,531.0,1202.0,1196.0,--,--,--,13664
Numinbah,512.0,1125.0,949.0,--,--,--,13040
Upper Crystal Creek,427.0,1017.0,850.0,--,--,--,14021
Nobbys Creek,633.0,1531.0,1278.0,--,--,--,12968
Dungay,653.0,1656.0,1569.0,--,--,--,11318
Kynnumboon,608.0,1350.0,919.0,--,--,--,12228
Dunbible,529.0,1518.0,1291.0,--,--,--,11309
Fernvale (NSW),504.0,1275.0,1125.0,--,--,--,11511
Kielvale,587.0,1487.0,1325.0,--,--,--,12122
Reserve Creek,586.0,1531.0,1062.0,--,--,--,13353
Tygalgah,675.0,1854.0,1437.0,--,--,--,13996
Dulguigan,567.0,1292.0,1292.0,--,--,--,11302
Urliup,453.0,1208.0,1156.0,--,--,--,14060
Eviron,597.0,1524.0,1416.0,--,--,--,11472
Duranbah,594.0,1399.0,1312.0,--,--,--,11331
Condong,556.0,1312.0,1230.0,--,--,--,11003
Farrants Hill,701.0,1300.0,1275.0,--,--,--,11493
Clothiers Creek,714.0,2022.0,1968.0,--,--,--,10936
Nunderi,612.0,1687.0,1510.0,--,--,--,13042
Uki,526.0,1231.0,1053.0,--,--,--,14000
Bogangar,605.0,1550.0,1280.0,--,--,--,10439
Mooball,507.0,1375.0,1083.0,--,--,--,12687
Cabarita Beach,687.0,1125.0,1083.0,--,--,--,10737
Pottsville,577.0,1451.0,1281.0,--,--,--,13257
Crabbes Creek,554.0,1275.0,1031.0,--,--,--,11102
Upper Burringbar,508.0,1036.0,883.0,--,--,--,14015
Burringbar,512.0,1325.0,1165.0,--,--,--,10713
Hastings Point,452.0,812.0,723.0,--,--,--,11868
Round Mountain,485.0,1474.0,1468.0,--,--,--,13425
Cudgera Creek,665.0,1578.0,1430.0,--,--,--,11144
Tweed Heads,541.0,1221.0,928.0,--,--,--,13984
Tweed Heads West,488.0,1122.0,842.0,--,--,--,13986
Piggabeen,490.0,1266.0,1268.0,--,--,--,13202
Bilambil Heights,613.0,1437.0,1295.0,--,--,--,10348
Cobaki,685.0,1578.0,1612.0,--,--,--,10947
Bilambil,512.0,1420.0,1346.0,--,--,--,10347
Carool,588.0,1312.0,1281.0,--,--,--,10822
Glengarrie,404.0,1031.0,512.0,--,--,--,11666
Banora Point,538.0,1329.0,1080.0,--,--,--,10185
Terranora,638.0,1820.0,1752.0,--,--,--,13802
North Tumbulgum,518.0,1687.0,1422.0,--,--,--,13012
Tweed Heads South,476.0,1108.0,798.0,--,--,--,13985
Griffith (NSW),670.0,1519.0,1287.0,--,--,--,11782
Yoogali,710.0,1745.0,1674.0,--,--,--,14516
Bilbul,716.0,1781.0,1442.0,--,--,--,10349
Yenda (NSW),638.0,1503.0,1266.0,--,--,--,14504
Beelbangera,712.0,1481.0,1368.0,--,--,--,10251
Myall Park (NSW),833.0,2250.0,1937.0,--,--,--,12873
Binya,807.0,1899.0,1449.0,--,--,--,10373
Hillston,656.0,1562.0,1234.0,--,--,--,11912
Rankins Springs,684.0,1531.0,1125.0,--,--,--,13316
Whitton,489.0,1239.0,1006.0,--,--,--,14280
Tharbogang,642.0,1645.0,1399.0,--,--,--,13811
Hanwood,644.0,1625.0,1461.0,--,--,--,11850
Coleambally,702.0,1614.0,1323.0,--,--,--,10964
Darlington Point,628.0,1408.0,1131.0,--,--,--,11215
Carrathool,739.0,1286.0,1261.0,--,--,--,10827
Goolgowi,677.0,1478.0,1197.0,--,--,--,11705
Merriwagga,682.0,1874.0,1025.0,--,--,--,12586
Nericon,695.0,1525.0,1424.0,--,--,--,12927
Lake Wyangan,762.0,1954.0,1691.0,--,--,--,12255
Murrami,671.0,1458.0,1262.0,--,--,--,12850
Stanbridge,552.0,1089.0,1053.0,--,--,--,13646
Leeton,643.0,1487.0,1207.0,--,--,--,12293
Yanco,352.0,1228.0,1018.0,--,--,--,14460
Corbie Hill,597.0,1468.0,1312.0,--,--,--,11068
Merungle Hill,516.0,1192.0,1211.0,--,--,--,12590
Narrandera,553.0,1294.0,963.0,--,--,--,12906
Grong Grong,677.0,1593.0,1218.0,--,--,--,11784
Boree Creek,494.0,1181.0,1034.0,--,--,--,10512
Gillenbah,715.0,1458.0,1375.0,--,--,--,11622
Tumbarumba,564.0,1350.0,1102.0,--,--,--,13961
Khancoban,490.0,1125.0,914.0,--,--,--,12111
Rosewood (Snowy Valleys - NSW),465.0,1178.0,956.0,--,--,--,13415
Humula,506.0,1156.0,974.0,--,--,--,11952
Tooma,780.0,2049.0,1499.0,--,--,--,13906
Tumut,552.0,1388.0,1073.0,--,--,--,13966
Gilmore (NSW),843.0,2125.0,1850.0,--,--,--,11626
Batlow,528.0,1262.0,928.0,--,--,--,10232
Talbingo,541.0,1228.0,909.0,--,--,--,13730
Gocup,754.0,2075.0,1792.0,--,--,--,11690
Bombowlee,685.0,2021.0,1524.0,--,--,--,10459
Lacmalac,771.0,1937.0,1625.0,--,--,--,12231
Mundongo,736.0,2047.0,1916.0,--,--,--,12840
Adelong,507.0,1287.0,1018.0,--,--,--,10018
Cootamundra,522.0,1232.0,910.0,--,--,--,11053
Stockinbingal,453.0,963.0,772.0,--,--,--,13660
Wallendbeen,690.0,1463.0,1224.0,--,--,--,14113
Gundagai,542.0,1349.0,1022.0,--,--,--,11803
South Gundagai,568.0,1315.0,1073.0,--,--,--,13584
Tumblong,587.0,1562.0,1339.0,--,--,--,13963
Nangus,565.0,1463.0,1125.0,--,--,--,12890
Coolac,617.0,1424.0,1089.0,--,--,--,11022
Junee,575.0,1365.0,1078.0,--,--,--,12046
Harefield,909.0,1874.0,1812.0,--,--,--,11853
Old Junee,707.0,1843.0,1444.0,--,--,--,13078
Illabo,541.0,1224.0,1050.0,--,--,--,11972
Bethungra,479.0,1281.0,725.0,--,--,--,10328
Wantabadgery,689.0,1437.0,1268.0,--,--,--,14136
Temora,531.0,1295.0,982.0,--,--,--,13784
Springdale (NSW),439.0,1100.0,1062.0,--,--,--,13621
Lake Albert (NSW),738.0,1834.0,1553.0,--,--,--,12238
East Wagga Wagga,653.0,1300.0,1062.0,--,--,--,11364
Kooringal (NSW),665.0,1486.0,1196.0,--,--,--,12193
Gumly Gumly,567.0,1430.0,1375.0,--,--,--,11800
Tatton,903.0,2377.0,2118.0,--,--,--,13775
Estella,705.0,1961.0,1620.0,--,--,--,11444
Boorooma,803.0,2125.0,2078.0,--,--,--,10501
North Wagga Wagga,670.0,1571.0,1379.0,--,--,--,13014
Cartwrights Hill,747.0,2045.0,1625.0,--,--,--,10839
Springvale (Wagga Wagga - NSW),917.0,2631.0,2610.0,--,--,--,13628
Lloyd,922.0,2110.0,2005.0,--,--,--,12365
Bourkelands,860.0,2110.0,1912.0,--,--,--,10523
Glenfield Park,718.0,1643.0,1395.0,--,--,--,11665
Tolland,553.0,1242.0,941.0,--,--,--,13887
Mount Austin,496.0,1201.0,914.0,--,--,--,12748
Turvey Park,762.0,1867.0,1519.0,--,--,--,13983
San Isidore,661.0,2067.0,1791.0,--,--,--,13469
Ashmont,505.0,1080.0,876.0,--,--,--,10101
Wagga Wagga,712.0,1663.0,1195.0,--,--,--,14083
Kapooka,779.0,2204.0,2173.0,--,--,--,12068
Moorong,985.0,3124.0,2399.0,--,--,--,12715
Ladysmith,710.0,1550.0,1375.0,--,--,--,12233
The Rock,605.0,1466.0,1228.0,--,--,--,13838
Forest Hill (NSW),781.0,1581.0,1420.0,--,--,--,11544
Collingullie,671.0,1520.0,1350.0,--,--,--,10976
Lockhart,545.0,1375.0,960.0,--,--,--,12369
Pleasant Hills,525.0,1375.0,899.0,--,--,--,13228
Ganmain,495.0,1254.0,935.0,--,--,--,11585
Matong,669.0,1687.0,1291.0,--,--,--,12523
Yerong Creek,532.0,1213.0,1053.0,--,--,--,14508
Uranquinty,690.0,1524.0,1426.0,--,--,--,14055
Currawarna,654.0,1812.0,1392.0,--,--,--,11178
Oura,771.0,1786.0,1696.0,--,--,--,13102
Eunanoreenya,864.0,1968.0,1843.0,--,--,--,11457
Gobbagombalin,966.0,2187.0,2138.0,--,--,--,11689
Brucedale,869.0,2274.0,2200.0,--,--,--,10613
Downside,941.0,2625.0,1875.0,--,--,--,11285
Euberta,833.0,2250.0,2062.0,--,--,--,11451
Marrar,695.0,1642.0,1476.0,--,--,--,12503
Coolamon,659.0,1561.0,1304.0,--,--,--,11025
Tarcutta,562.0,1420.0,1083.0,--,--,--,13763
Gregadoo,670.0,1792.0,1791.0,--,--,--,11773
Big Springs,584.0,1524.0,1187.0,--,--,--,10345
Mangoplah,552.0,1303.0,1321.0,--,--,--,12470
Gelston Park,766.0,2549.0,2166.0,--,--,--,11597
Berry,617.0,1638.0,1252.0,--,--,--,10322
Kangaroo Valley,597.0,1525.0,1255.0,--,--,--,12061
Barrengarry,634.0,1687.0,1375.0,--,--,--,10213
Upper Kangaroo River,597.0,1624.0,1312.0,--,--,--,14030
Broughton Vale,700.0,1874.0,1541.0,--,--,--,10606
Bellawongarah,900.0,2291.0,2166.0,--,--,--,10267
Beaumont (NSW),774.0,2042.0,1875.0,--,--,--,10242
Far Meadow,638.0,1892.0,1625.0,--,--,--,11488
Coolangatta (NSW),698.0,2166.0,2038.0,--,--,--,11026
Jaspers Brush,759.0,1699.0,1531.0,--,--,--,12002
Shoalhaven Heads,518.0,1202.0,842.0,--,--,--,13540
Callala Bay,499.0,1203.0,1024.0,--,--,--,10757
Callala Beach,470.0,1012.0,897.0,--,--,--,10758
Currarong,459.0,991.0,844.0,--,--,--,11176
Myola (NSW),485.0,1062.0,816.0,--,--,--,12878
Orient Point,475.0,1047.0,862.0,--,--,--,13096
Culburra Beach,503.0,1201.0,941.0,--,--,--,11146
Greenwell Point,489.0,1075.0,876.0,--,--,--,11769
Numbaa,638.0,1449.0,1303.0,--,--,--,13035
Huskisson,548.0,1225.0,864.0,--,--,--,11966
Vincentia,654.0,1516.0,1252.0,--,--,--,14075
Hyams Beach,644.0,1656.0,1156.0,--,--,--,11967
Bomaderry,505.0,1214.0,927.0,--,--,--,10453
Cambewarra,733.0,2318.0,1937.0,--,--,--,10763
North Nowra,561.0,1413.0,1159.0,--,--,--,13000
Bangalee (NSW),704.0,2134.0,1916.0,--,--,--,10173
Meroo Meadow,745.0,1976.0,1895.0,--,--,--,12579
Cambewarra Village,687.0,2040.0,1875.0,--,--,--,10764
Tapitallee,738.0,2136.0,2052.0,--,--,--,13755
Worrigee,610.0,1448.0,1350.0,--,--,--,14423
Nowra,462.0,1038.0,808.0,--,--,--,13028
Nowra Hill,711.0,1681.0,1772.0,--,--,--,13029
West Nowra,578.0,1288.0,1192.0,--,--,--,14248
Terara,523.0,1137.0,900.0,--,--,--,13795
South Nowra,657.0,1557.0,1330.0,--,--,--,13594
St Georges Basin,470.0,1199.0,955.0,--,--,--,13636
Worrowing Heights,444.0,877.0,770.0,--,--,--,14424
Basin View,495.0,1236.0,970.0,--,--,--,10223
Sanctuary Point,455.0,1021.0,857.0,--,--,--,13472
Erowal Bay,531.0,1234.0,1093.0,--,--,--,11436
Wrights Beach,476.0,1093.0,1093.0,--,--,--,14428
Old Erowal Bay,474.0,1098.0,918.0,--,--,--,13075
Sussex Inlet,451.0,957.0,768.0,--,--,--,13700
Swanhaven,428.0,900.0,734.0,--,--,--,13709
Berrara,476.0,991.0,891.0,--,--,--,10313
Cudmirrah,517.0,1134.0,915.0,--,--,--,11145
Falls Creek (NSW),552.0,1411.0,1478.0,--,--,--,11487
Tomerong,578.0,1471.0,1354.0,--,--,--,13894
Wandandian,614.0,1642.0,1642.0,--,--,--,14127
Woollamia,563.0,1467.0,1354.0,--,--,--,14405
Parma,711.0,1542.0,1406.0,--,--,--,13155
Ulladulla,463.0,1043.0,813.0,--,--,--,14003
Kings Point,544.0,1145.0,1076.0,--,--,--,12153
Burrill Lake,480.0,1092.0,864.0,--,--,--,10712
Dolphin Point,477.0,1125.0,880.0,--,--,--,11269
Milton (NSW),542.0,1279.0,1110.0,--,--,--,12630
Mollymook Beach,548.0,1205.0,1026.0,--,--,--,12670
Narrawallee,541.0,1190.0,947.0,--,--,--,12909
Mollymook,556.0,1217.0,1006.0,--,--,--,12669
Manyana,485.0,1129.0,947.0,--,--,--,12482
Conjola,704.0,1792.0,1624.0,--,--,--,11011
Fishermans Paradise,458.0,968.0,773.0,--,--,--,11523
Lake Tabourie,458.0,1042.0,852.0,--,--,--,12254
Conjola Park,496.0,1113.0,922.0,--,--,--,11012
Lake Conjola,444.0,1007.0,789.0,--,--,--,12244
Yatte Yattah,619.0,1312.0,1428.0,--,--,--,14497
Little Forest,517.0,1224.0,1083.0,--,--,--,12351
Croobyar,525.0,1174.0,1399.0,--,--,--,11121
Morton,553.0,1375.0,1221.0,--,--,--,12730
