,Personal,Family,Household,Personal (%),Family (%),Household (%),SSC_CODE
Ungarie,556.0,1297.0,945.0,--,--,--,14011
Euabalong,469.0,1028.0,919.0,--,--,--,11449
Fifield,591.0,1042.0,1125.0,--,--,--,11514
Tottenham (NSW),481.0,1325.0,759.0,--,--,--,13923
Cowra,520.0,1238.0,966.0,--,--,--,11099
Canowindra,532.0,1308.0,920.0,--,--,--,10796
Woodstock (Cowra - NSW),455.0,1055.0,872.0,--,--,--,14394
Gooloogong,464.0,1144.0,900.0,--,--,--,11709
Mandurama,519.0,1352.0,949.0,--,--,--,12467
Wattamondara,564.0,1468.0,1062.0,--,--,--,14190
Darbys Falls,430.0,1187.0,955.0,--,--,--,11205
Billimari,556.0,1312.0,833.0,--,--,--,10354
Moorbel,494.0,1262.0,949.0,--,--,--,12709
Forbes (NSW),552.0,1296.0,1033.0,--,--,--,11536
Eugowra,566.0,1228.0,1095.0,--,--,--,11454
Warroo (NSW),769.0,1875.0,1624.0,--,--,--,14175
Bedgerabong,687.0,1541.0,1281.0,--,--,--,10247
Grenfell,477.0,1157.0,841.0,--,--,--,11776
Greenethorpe,523.0,1062.0,956.0,--,--,--,11760
Quandialla,469.0,1187.0,900.0,--,--,--,13290
Caragabal,619.0,1424.0,1286.0,--,--,--,10806
Parkes (NSW),582.0,1469.0,1142.0,--,--,--,13151
Cookamidgera,474.0,974.0,824.0,--,--,--,11016
Peak Hill (NSW),450.0,1018.0,753.0,--,--,--,13166
Trundle,507.0,1301.0,911.0,--,--,--,13940
Bogan Gate,409.0,1041.0,816.0,--,--,--,10438
Alectown,575.0,1843.0,1312.0,--,--,--,10029
West Wyalong,602.0,1453.0,1148.0,--,--,--,14256
Wyalong,587.0,1331.0,1149.0,--,--,--,14431
Weethalle,479.0,1125.0,830.0,--,--,--,14215
Tallimba,725.0,1562.0,1156.0,--,--,--,13732
Barellan,605.0,1468.0,1154.0,--,--,--,10197
Ardlethan,415.0,878.0,769.0,--,--,--,10076
Ariah Park,525.0,1329.0,907.0,--,--,--,10081
Barmedman,430.0,972.0,808.0,--,--,--,10202
Beckom,675.0,1812.0,1375.0,--,--,--,10244
South Bowenfels,633.0,1960.0,1358.0,--,--,--,13578
Marrangaroo,676.0,1928.0,1861.0,--,--,--,12502
Lithgow,495.0,1233.0,834.0,--,--,--,12347
Bowenfels,442.0,1096.0,787.0,--,--,--,10529
Rydal,575.0,1312.0,1062.0,--,--,--,13452
Pottery Estate,425.0,774.0,683.0,--,--,--,13254
Oakey Park,498.0,1292.0,1007.0,--,--,--,13055
Morts Estate,484.0,1148.0,931.0,--,--,--,12732
Hermitage Flat,459.0,1023.0,791.0,--,--,--,11895
McKellars Park,644.0,1520.0,1125.0,--,--,--,12544
South Littleton,608.0,1946.0,1050.0,--,--,--,13590
Littleton,568.0,1381.0,1086.0,--,--,--,12360
Vale Of Clwydd,488.0,1110.0,892.0,--,--,--,14064
Portland (NSW),485.0,1297.0,1023.0,--,--,--,13250
Lidsdale,612.0,1890.0,1487.0,--,--,--,12318
Wallerawang,544.0,1470.0,1135.0,--,--,--,14114
Little Hartley,677.0,1656.0,1388.0,--,--,--,12352
Hartley (NSW),745.0,1937.0,1647.0,--,--,--,11861
Clarence,615.0,1839.0,1187.0,--,--,--,10919
Glen Davis,412.0,866.0,664.0,--,--,--,11646
Cullen Bullen,423.0,974.0,778.0,--,--,--,11148
Megalong Valley,527.0,1333.0,1145.0,--,--,--,12557
