,People,Male,Female,Median age,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied),Average people per household,Median weekly household income,Median monthly mortgage repayment,Median weekly rent
Oxley Park,2523.0,1198.0,1325.0,33.0,2125.0,619.0,9.0,692.0,1038.0,2.7,918.0,1435.0,210.0
Oyster Bay,4980.0,2456.0,2524.0,38.0,4668.0,730.0,6.0,1429.0,1741.0,3.0,1698.0,2000.0,340.0
Paddington,11660.0,5643.0,6017.0,35.0,8733.0,3634.0,227.0,2583.0,6391.0,2.0,1852.0,2600.0,387.0
Padstow,11713.0,5747.0,5966.0,38.0,10230.0,3538.0,52.0,3176.0,4498.0,2.7,1076.0,1733.0,250.0
Padstow Heights,3445.0,1643.0,1802.0,42.0,3202.0,693.0,12.0,939.0,1359.0,2.6,1104.0,1769.0,240.0
Pagewood,2966.0,1443.0,1523.0,39.0,2563.0,949.0,17.0,810.0,1089.0,2.8,1215.0,2167.0,279.0
Palm Beach,1606.0,821.0,785.0,50.0,1233.0,258.0,12.0,382.0,1105.0,2.3,1703.0,2800.0,400.0
Panania,10992.0,5325.0,5667.0,37.0,10104.0,2355.0,32.0,3048.0,4241.0,2.7,1070.0,1733.0,220.0
Parramatta,18448.0,9646.0,8802.0,30.0,11112.0,10635.0,518.0,4479.0,8481.0,2.4,1022.0,1571.0,230.0
Peakhurst,9180.0,4373.0,4807.0,41.0,8137.0,2147.0,32.0,2401.0,3535.0,2.6,996.0,1863.0,230.0
Peakhurst Heights,2295.0,1136.0,1159.0,42.0,2170.0,384.0,0.0,696.0,846.0,2.8,1279.0,1950.0,201.0
Pearl Beach,479.0,230.0,249.0,59.0,422.0,113.0,4.0,126.0,625.0,2.0,789.0,1984.0,255.0
Pelican,862.0,439.0,423.0,41.0,814.0,31.0,5.0,246.0,359.0,2.6,766.0,1274.0,195.0
Pendle Hill,9964.0,4835.0,5129.0,37.0,8042.0,3837.0,55.0,2607.0,3902.0,2.6,978.0,1710.0,220.0
Pennant Hills,6830.0,3336.0,3494.0,39.0,5844.0,2110.0,47.0,1820.0,2584.0,2.8,1530.0,1950.0,300.0
Penrith,11396.0,5482.0,5914.0,36.0,9464.0,2339.0,42.0,2724.0,5518.0,2.2,755.0,1450.0,185.0
Penrose,1428.0,695.0,733.0,36.0,1298.0,287.0,4.0,408.0,585.0,2.5,974.0,1300.0,125.0
Penshurst,11198.0,5337.0,5861.0,36.0,9427.0,4308.0,94.0,3017.0,4683.0,2.5,1041.0,1625.0,220.0
Petersham,7391.0,3685.0,3706.0,35.0,6044.0,2207.0,110.0,1734.0,3502.0,2.2,1269.0,2000.0,250.0
Phillip Bay,703.0,339.0,364.0,43.0,617.0,171.0,9.0,176.0,244.0,2.9,1287.0,1733.0,255.0
Picnic Point,5941.0,2952.0,2989.0,38.0,5520.0,893.0,20.0,1708.0,2192.0,2.8,1322.0,1800.0,280.0
Plumpton,7864.0,3918.0,3946.0,29.0,6818.0,3534.0,66.0,2027.0,2267.0,3.5,1279.0,1712.0,230.0
Point Clare,2975.0,1434.0,1541.0,43.0,2676.0,504.0,12.0,809.0,1360.0,2.3,845.0,1517.0,200.0
Point Frederick,1693.0,788.0,905.0,45.0,1484.0,302.0,9.0,427.0,949.0,2.0,892.0,1723.0,195.0
Point Piper,1408.0,652.0,756.0,47.0,1073.0,448.0,28.0,343.0,746.0,2.3,2577.0,4600.0,545.0
Port Kembla,4369.0,2254.0,2115.0,43.0,3864.0,1375.0,4.0,1200.0,1897.0,2.5,670.0,1300.0,150.0
Potts Point,6878.0,4010.0,2868.0,35.0,3864.0,1920.0,698.0,828.0,4568.0,1.5,1133.0,1846.0,270.0
Prairiewood,2867.0,1391.0,1476.0,38.0,2582.0,1433.0,3.0,793.0,913.0,3.3,1058.0,1526.0,150.0
Prestons,12824.0,6348.0,6476.0,30.0,10657.0,5063.0,44.0,3269.0,3833.0,3.4,1409.0,2054.0,270.0
Primbee,1646.0,854.0,792.0,43.0,1468.0,396.0,23.0,457.0,715.0,2.4,776.0,1458.0,160.0
Prospect,4217.0,2112.0,2105.0,33.0,3706.0,1449.0,23.0,1165.0,1400.0,3.1,1343.0,1714.0,245.0
Punchbowl,17209.0,8716.0,8493.0,31.0,14448.0,7837.0,78.0,4249.0,5779.0,3.2,786.0,1600.0,180.0
Putney,3192.0,1579.0,1613.0,39.0,2931.0,773.0,22.0,886.0,1091.0,3.0,1715.0,2167.0,390.0
Pymble,9366.0,4353.0,5013.0,41.0,8228.0,2990.0,110.0,2611.0,3226.0,3.1,2595.0,2600.0,476.0
Pyrmont,11088.0,5813.0,5275.0,31.0,5554.0,4253.0,750.0,2198.0,5874.0,2.0,1736.0,2167.0,400.0
Quakers Hill,25015.0,12356.0,12659.0,30.0,21448.0,8518.0,178.0,6835.0,8340.0,3.1,1401.0,1800.0,245.0
Queens Park,2723.0,1312.0,1411.0,38.0,2282.0,818.0,25.0,702.0,1273.0,2.4,1756.0,2600.0,360.0
Raby,6087.0,3064.0,3023.0,31.0,5447.0,1404.0,18.0,1670.0,1978.0,3.2,1345.0,1517.0,220.0
Ramsgate,1053.0,512.0,541.0,43.0,877.0,269.0,3.0,278.0,430.0,2.7,1012.0,2167.0,260.0
Ramsgate Beach,1435.0,647.0,788.0,45.0,1169.0,422.0,7.0,365.0,795.0,1.9,821.0,1835.0,240.0
Randwick,25817.0,12225.0,13592.0,34.0,19558.0,9369.0,553.0,6089.0,12446.0,2.2,1348.0,2117.0,320.0
Rankin Park,2568.0,1252.0,1316.0,38.0,2422.0,241.0,13.0,763.0,944.0,2.8,1347.0,1300.0,250.0
