,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%)
Norah Head,388.0,91.0,81.0,19.0
Noraville,1031.0,201.0,83.7,16.3
Normanhurst,1705.0,112.0,93.8,6.2
North Avoca,673.0,302.0,69.0,31.0
North Balgowlah,1077.0,68.0,94.1,5.9
North Bondi,3187.0,366.0,89.7,10.3
North Curl Curl,1128.0,53.0,95.5,4.5
North Epping,1437.0,71.0,95.3,4.7
North Gosford,1350.0,97.0,93.3,6.7
North Lambton,1176.0,73.0,94.2,5.8
North Manly,879.0,48.0,94.8,5.2
North Narrabeen,1824.0,99.0,94.9,5.1
North Parramatta,4555.0,287.0,94.1,5.9
North Rocks,2501.0,122.0,95.3,4.7
North Ryde,3346.0,187.0,94.7,5.3
North St Marys,1224.0,86.0,93.4,6.6
North Strathfield,1509.0,95.0,94.1,5.9
North Sydney,2811.0,408.0,87.3,12.7
North Turramurra,1411.0,110.0,92.8,7.2
North Wahroonga,613.0,29.0,95.5,4.5
North Willoughby,1440.0,90.0,94.1,5.9
North Wollongong,770.0,96.0,88.9,11.1
Northbridge (NSW),1986.0,164.0,92.4,7.6
Northmead,4053.0,286.0,93.4,6.6
Northwood (NSW),274.0,17.0,94.2,5.8
Oak Flats,2331.0,161.0,93.5,6.5
Oakhurst (NSW),1905.0,62.0,96.8,3.2
Oatlands (NSW),1678.0,101.0,94.3,5.7
Oatley,3575.0,239.0,93.7,6.3
Old Guildford,658.0,17.0,97.5,2.5
Old Toongabbie,897.0,34.0,96.3,3.7
Ourimbah,1418.0,84.0,94.4,5.6
Oxley Park,978.0,79.0,92.5,7.5
Oyster Bay,1756.0,92.0,95.0,5.0
Paddington (NSW),5086.0,656.0,88.6,11.4
Padstow,4476.0,202.0,95.7,4.3
Padstow Heights,1186.0,76.0,94.0,6.0
Pagewood,1246.0,63.0,95.2,4.8
Palm Beach (NSW),580.0,458.0,55.9,44.1
Panania,3990.0,193.0,95.4,4.6
Parramatta,7120.0,581.0,92.5,7.5
Peakhurst,3434.0,207.0,94.3,5.7
Peakhurst Heights,807.0,40.0,95.3,4.7
Pearl Beach,209.0,405.0,34.0,66.0
Pelican (NSW),339.0,37.0,90.2,9.8
Pendle Hill,2266.0,128.0,94.7,5.3
Pennant Hills,2413.0,135.0,94.7,5.3
Penrith,4934.0,433.0,91.9,8.1
Penrose (Wollongong - NSW),546.0,36.0,93.8,6.2
Penshurst (NSW),4343.0,241.0,94.7,5.3
Petersham,3000.0,238.0,92.6,7.4
Phillip Bay,211.0,12.0,94.6,5.4
Picnic Point,1900.0,95.0,95.2,4.8
Plumpton (NSW),2249.0,76.0,96.7,3.3
Point Clare,1417.0,98.0,93.5,6.5
Point Frederick,799.0,88.0,90.1,9.9
Point Piper,477.0,105.0,82.0,18.0
Port Kembla,1904.0,166.0,92.0,8.0
Potts Point,3344.0,626.0,84.2,15.8
Prairiewood,909.0,30.0,96.8,3.2
Prestons,3906.0,104.0,97.4,2.6
Primbee,612.0,36.0,94.4,5.6
Prospect (NSW),1452.0,78.0,94.9,5.1
Punchbowl (Canterbury - NSW),5233.0,303.0,94.5,5.5
Putney,1329.0,68.0,95.1,4.9
Pymble,3370.0,264.0,92.7,7.3
Pyrmont,5016.0,572.0,89.8,10.2
Quakers Hill,8085.0,323.0,96.2,3.8
Queens Park (NSW),1081.0,116.0,90.3,9.7
Raby,1868.0,43.0,97.7,2.3
Ramsgate,298.0,26.0,92.0,8.0
