POA_CODE_2016,POA_NAME_2016,SSC_CODE_2016,SSC_NAME_2016,n_MB_CODE_2016,share_MB_CODE_2016
2000,2000,13840,The Rocks (Sydney - NSW),14,1
2120,2120,13850,Thornleigh,106,1
2146,2146,13907,Toongabbie (NSW),180,1
2770,2770,13934,Tregear,38,1
2074,2074,13980,Turramurra,123,1
2205,2205,13982,Turrella,20,0.9523809523809523
2007,2007,14006,Ultimo,58,1
2030,2030,14071,Vaucluse,132,1
2163,2163,14074,Villawood,82,1
2765,2765,14076,Vineyard,16,1
2172,2172,14079,Voyager Point,13,1
2076,2076,14085,Wahroonga,189,1
2077,2077,14086,Waitara,48,1
2176,2176,14089,Wakeley,57,0.9827586206896551
2046,2046,14148,Wareemba,19,1
2074,2074,14165,Warrawee,25,1
2102,2102,14173,Warriewood,82,1
2170,2170,14177,Warwick Farm,84,1
2233,2233,14182,Waterfall,15,1
2017,2017,14183,Waterloo (NSW),87,1
2030,2030,14187,Watsons Bay,18,1
2173,2173,14192,Wattle Grove (NSW),98,1
2024,2024,14200,Waverley (NSW),61,1
2060,2060,14202,Waverton,48,1
2127,2127,14227,Wentworth Point,25,1
2145,2145,14228,Wentworthville,138,1
2747,2747,14235,Werrington,75,1
2747,2747,14236,Werrington County,48,1
2747,2747,14237,Werrington Downs,34,1
2171,2171,14246,West Hoxton,81,1
2125,2125,14249,West Pennant Hills,177,1
2073,2073,14250,West Pymble,60,1
2114,2114,14251,West Ryde,165,1
2120,2120,14260,Westleigh,51,1
2145,2145,14261,Westmead,164,1
2164,2164,14264,Wetherill Park,99,1
2770,2770,14266,Whalan,55,1
2107,2107,14267,Whale Beach,18,1
2097,2097,14268,Wheeler Heights,28,1
2195,2195,14293,Wiley Park,104,1
2770,2770,14302,Willmot,32,1
2068,2068,14303,Willoughby (NSW),76,1
2068,2068,14304,Willoughby East,18,1
2153,2153,14335,Winston Hills,137,1
2205,2205,14353,Wolli Creek,26,1
2065,2065,14359,Wollstonecraft,123,1
2767,2767,14381,Woodcroft (NSW),66,1
2164,2164,14390,Woodpark,15,1
2025,2025,14404,Woollahra,113,1
2011,2011,14406,Woolloomooloo,60,1
2230,2230,14410,Woolooware,59,1
2110,2110,14412,Woolwich,16,1
2232,2232,14420,Woronora,34,1
2233,2233,14422,Woronora Heights,43,1
2199,2199,14453,Yagoona,180,1
2233,2233,14485,Yarrawarrah,40,1
2161,2161,14506,Yennora,34,1
2228,2228,14519,Yowie Bay,33,1
2017,2017,14524,Zetland,52,1
