ss,low_income,high_income,p_income,f_income,h_income,chinese_p,owner,mortgage,rent,rental,rent_distress,repay,repay_distress,house,semi,unit,ssc,POA_CODE_2016
Kogarah Bay,13.2,31.9,702,2104,2051,9.2,45.1,40.5,12.6,563,5.1,2500,12.2,95.7,3.9,0,12182,2217
Kyeemagh,23,19.1,664,1762,1395,2.7,47.1,34,15.4,530,5.7,2754,12.5,85.2,10.7,3.2,12226,2216
Rockdale,15.8,15.8,651,1592,1635,13.100000000000001,22.3,27,46.3,470,18.2,2080,8.1,26.3,5.7,65.7,13379,2216
Banksia,15.9,22.8,652,1694,1685,8.3,38.5,36.8,20.8,480,8.2,2383,10,77.2,8.9,11.3,10178,2216
Sandringham,15.9,25.7,764,2097,1715,1.9,44.8,27.2,24.8,470,11.8,2383,8.7,62.2,8.6,29.2,13478,2219
Dolls Point,16.4,12.8,868,1855,1438,0,26.1,25.3,45.9,435,22.1,2037,6.4,16.1,13.1,70.8,11267,2219
Sans Souci,21,19.9,718,1960,1536,2.4,42.2,29.4,24.9,460,11.3,2393,8.9,49.2,29.7,19.8,13489,2219
Ramsgate,14.9,20.6,682,1685,1616,3.1,37.3,30.4,30.7,460,13.8,2400,9.1,60.8,8.8,28.1,13309,2217
Cabarita,10,42.3,1019,2727,2559,10.399999999999999,53.8,26.4,18.4,850,5.7,3000,6.5,40.6,19.1,39.2,10736,2137
Mortlake,10.6,34.3,1084,2448,2228,13.2,23.2,36.5,36.5,630,13.4,2600,9.7,11.3,20.9,66.1,12729,2137
Concord West,15.3,30.8,752,2284,2072,8.5,43.5,31.8,21.6,480,8,2500,7.5,81.4,7.5,10.2,11000,2138
Liberty Grove,7.7,30.4,922,2244,2207,19,18.2,39.5,40.9,600,16.4,2075,6.7,7.8,29.7,62.5,12315,2138
Rhodes,21,21.1,736,1906,1693,44.9,10.3,27.6,59.5,620,32.5,2200,11.8,3.7,1.7,94.6,13358,2138
Drummoyne,12.4,39.2,1170,2993,2353,3.4,32.7,27,37,571,11.3,2900,5.8,31.1,11.2,55.3,11293,2047
Russell Lea,15.6,34.7,917,2670,2148,3.4,38.5,33.5,25.9,510,8.9,2800,7.1,68.6,6.8,23.5,13447,2046
Rodd Point,12.8,40.8,863,2766,2298,7.3,45.9,36.5,14.7,700,4.4,2882,10.1,93.9,5.2,0,13391,2046
Chiswick,11.3,34.3,1263,2663,2220,8.3,22.9,29.6,45.6,600,15.3,2600,7.1,16.1,5.2,78.4,10910,2046
Five Dock,17.6,32,876,2434,2077,5.6,32.3,30.5,34.1,550,11.3,2617,6.6,48.2,12.4,37.6,11530,2046
Wareemba,17,33.1,811,2386,2043,1.4,39.3,26.7,30.7,550,11.6,2676,4.3,55.9,10,30.3,14148,2046
