,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling,SSC_CODE
Terrabella,17.0,0.444,0.556,32.0,8.0,0.0,0.0,4.0,2.0,2374.0,0.0,0.0,4.0,13798
Benolong,49.0,0.489,0.511,33.0,9.0,3.0,1.5,16.0,4.0,1875.0,0.0,0.0,2.3,10296
Toongi,61.0,0.466,0.534,55.0,24.0,1.0,0.2,29.0,2.0,1478.0,1400.0,200.0,2.9,13908
Wambangalang,89.0,0.632,0.368,38.0,16.0,1.5,0.6,37.0,2.0,1375.0,0.0,150.0,2.3,14121
Obley,91.0,0.515,0.485,53.0,27.0,1.9,0.7,42.0,2.6,1231.0,1105.0,0.0,2.6,13069
Rawsonville,50.0,0.479,0.521,37.0,18.0,2.0,0.6,16.0,2.5,2125.0,2909.0,0.0,2.2,13326
Wongarbon,766.0,0.501,0.499,35.0,203.0,1.9,0.9,282.0,2.9,1554.0,1387.0,260.0,2.3,14373
Elong Elong,115.0,0.49200000000000005,0.508,55.0,35.0,1.2,0.3,58.0,2.0,771.0,368.0,205.0,1.8,11406
Gollan,127.0,0.528,0.47200000000000003,44.0,29.0,2.0,0.9,53.0,2.5,1350.0,2128.0,0.0,2.3,11694
Goonoo Forest,10.0,0.625,0.375,41.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,11713
Eumungerie,304.0,0.556,0.444,51.0,82.0,1.5,0.5,152.0,2.2,836.0,1192.0,130.0,2.1,11456
Mogriguy,113.0,0.532,0.46799999999999997,44.0,26.0,2.0,1.0,44.0,2.5,1208.0,1343.0,0.0,2.6,12665
Minore,153.0,0.543,0.457,47.0,43.0,1.6,0.8,60.0,2.5,1517.0,1842.0,0.0,2.2,12641
Ballimore,197.0,0.517,0.483,44.0,48.0,1.3,0.5,83.0,2.5,1281.0,1278.0,240.0,2.4,10161
Gilgandra,3126.0,0.483,0.517,46.0,794.0,1.9,0.6,1422.0,2.3,914.0,1083.0,174.0,1.7,11619
Balladoran,108.0,0.543,0.457,49.0,34.0,1.9,0.9,46.0,2.5,1281.0,1600.0,0.0,3.0,10157
Kickabil,50.0,0.45299999999999996,0.547,51.0,15.0,1.4,0.7,22.0,2.6,2125.0,792.0,0.0,2.6,12121
Collie (NSW),194.0,0.538,0.462,39.0,56.0,1.7,0.5,80.0,2.3,1166.0,671.0,0.0,2.6,10975
Merrigal,31.0,0.536,0.46399999999999997,27.0,8.0,2.0,0.9,13.0,4.0,1625.0,0.0,12.0,2.5,12583
Armatree,153.0,0.49700000000000005,0.503,36.0,33.0,2.7,1.2,60.0,2.6,1228.0,650.0,100.0,2.4,10084
Curban,131.0,0.512,0.488,45.0,36.0,1.8,0.7,64.0,2.5,1468.0,1500.0,75.0,2.4,11166
Tooraweenah,232.0,0.513,0.48700000000000004,50.0,66.0,1.6,0.5,119.0,2.5,929.0,400.0,0.0,2.4,13911
Tonderburine,59.0,0.5,0.5,39.0,18.0,2.1,0.6,39.0,2.5,1375.0,1300.0,0.0,2.2,13899
Breelong,59.0,0.538,0.462,54.0,20.0,1.4,0.4,30.0,2.5,787.0,1517.0,0.0,2.0,10560
Biddon,98.0,0.616,0.384,44.0,26.0,2.0,0.6,46.0,2.3,1437.0,400.0,0.0,2.1,10338
Bearbong,60.0,0.532,0.46799999999999997,50.0,18.0,1.5,0.5,30.0,2.4,1275.0,0.0,0.0,2.4,10241
Narromine,4689.0,0.489,0.511,41.0,1197.0,2.0,0.8,2040.0,2.5,1086.0,1148.0,210.0,1.9,12911
Burroway,118.0,0.516,0.484,43.0,35.0,1.8,0.6,65.0,2.6,1325.0,719.0,0.0,2.4,10715
Trangie,1188.0,0.515,0.485,46.0,288.0,2.0,0.6,567.0,2.2,978.0,819.0,150.0,2.0,13932
Tomingley,306.0,0.561,0.439,45.0,82.0,1.9,0.6,138.0,2.5,1158.0,1200.0,116.0,2.3,13896
Dandaloo,37.0,0.659,0.341,42.0,6.0,3.5,2.1,14.0,4.5,1374.0,0.0,0.0,2.5,11197
Cathundral,45.0,0.563,0.438,32.0,12.0,2.5,1.7,11.0,2.0,1187.0,0.0,0.0,2.7,10858
Bundemar,42.0,0.488,0.512,50.0,14.0,0.0,0.0,15.0,1.6,1875.0,250.0,0.0,2.3,10674
Gin Gin (NSW),109.0,0.527,0.473,36.0,26.0,1.3,0.5,42.0,2.4,1875.0,740.0,120.0,2.2,11627
Apsley (NSW),107.0,0.495,0.505,49.0,33.0,2.2,0.6,40.0,3.1,1224.0,1083.0,0.0,2.7,10067
Wellington (NSW),4077.0,0.48,0.52,44.0,950.0,1.9,0.7,1983.0,2.3,781.0,1000.0,180.0,1.4,14221
North Yeoval,79.0,0.519,0.48100000000000004,47.0,23.0,2.3,0.7,38.0,2.3,724.0,867.0,63.0,1.9,13020
Comobella,59.0,0.5670000000000001,0.433,37.0,17.0,1.5,0.6,24.0,2.5,1249.0,0.0,160.0,3.3,10997
Mumbil,291.0,0.5,0.5,51.0,66.0,2.1,0.7,161.0,2.3,710.0,884.0,120.0,1.7,12832
Stuart Town,235.0,0.519,0.48100000000000004,50.0,60.0,1.8,0.6,109.0,2.5,1020.0,1125.0,38.0,2.2,13680
Mookerawa,7.0,0.5,0.5,66.0,5.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,12690
Euchareena,197.0,0.49200000000000005,0.508,39.0,43.0,1.9,0.8,77.0,2.6,1228.0,1083.0,163.0,2.5,11452
Farnham,28.0,0.375,0.625,54.0,12.0,1.0,0.5,11.0,2.3,1125.0,0.0,0.0,1.0,11492
Lake Burrendong,6.0,0.5710000000000001,0.429,52.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12241
Dripstone,76.0,0.538,0.46299999999999997,49.0,21.0,2.1,0.8,36.0,2.8,1187.0,660.0,0.0,1.6,11292
Eurimbla,38.0,0.541,0.459,38.0,9.0,1.4,0.9,13.0,3.0,1292.0,0.0,210.0,3.1,11462
Cundumbul,38.0,0.436,0.564,38.0,9.0,0.0,0.0,17.0,2.0,2125.0,650.0,0.0,2.8,11162
Bakers Swamp,53.0,0.521,0.479,54.0,14.0,2.5,0.8,24.0,1.8,1562.0,800.0,75.0,2.3,10142
Neurea,130.0,0.519,0.48100000000000004,46.0,35.0,1.9,0.7,63.0,2.7,1281.0,2000.0,0.0,2.8,12933
Mount Arthur,169.0,0.494,0.506,50.0,44.0,1.9,0.7,64.0,2.5,1271.0,1517.0,265.0,2.4,12747
Ponto,51.0,0.633,0.36700000000000005,44.0,13.0,2.5,1.2,19.0,2.7,2374.0,2167.0,0.0,3.4,13241
Walmer (NSW),38.0,0.526,0.474,52.0,11.0,0.0,0.0,24.0,2.1,966.0,0.0,25.0,2.3,14119
Curra Creek,66.0,0.5710000000000001,0.429,51.0,12.0,1.0,0.2,32.0,1.7,762.0,1584.0,0.0,1.8,11171
Suntop,70.0,0.507,0.493,43.0,15.0,1.9,0.7,31.0,2.3,1583.0,1300.0,0.0,1.9,13696
Arthurville,36.0,0.48600000000000004,0.514,50.0,17.0,1.4,0.6,15.0,2.3,1875.0,1330.0,0.0,2.6,10091
Bournewood,53.0,0.5,0.5,40.0,13.0,3.0,0.8,27.0,1.8,1542.0,2000.0,0.0,1.8,10525
Maryvale (NSW),191.0,0.503,0.49700000000000005,45.0,49.0,2.1,0.8,77.0,2.8,1468.0,1700.0,220.0,2.3,12517
Geurie,755.0,0.503,0.49700000000000005,42.0,200.0,1.8,0.7,313.0,2.5,1218.0,1300.0,250.0,2.1,11608
Montefiores,592.0,0.499,0.501,40.0,153.0,2.0,0.7,254.0,2.4,1125.0,1517.0,250.0,1.8,12685
Yarragal,22.0,0.462,0.538,47.0,4.0,1.0,0.4,12.0,0.0,725.0,650.0,0.0,2.0,14471
Spicers Creek,75.0,0.513,0.48700000000000004,42.0,20.0,0.0,0.0,25.0,3.2,1562.0,0.0,0.0,1.9,13608
Wuuluman,776.0,0.828,0.172,32.0,29.0,2.2,0.9,50.0,2.6,1625.0,1539.0,0.0,2.7,14430
Bodangora,79.0,0.585,0.41500000000000004,53.0,17.0,1.0,0.1,41.0,1.9,1531.0,867.0,80.0,2.7,10435
Greta (NSW),2830.0,0.51,0.49,33.0,753.0,2.0,1.0,1074.0,2.7,1412.0,1647.0,320.0,2.1,11778
Lower Belford,392.0,0.525,0.47500000000000003,43.0,111.0,1.9,1.0,153.0,2.9,2087.0,2167.0,200.0,2.6,12401
Belford,171.0,0.48,0.52,36.0,47.0,2.0,1.1,79.0,3.2,2416.0,2184.0,260.0,2.5,10258
Branxton,1991.0,0.49600000000000005,0.504,39.0,554.0,1.9,0.9,763.0,2.7,1678.0,1915.0,300.0,2.2,10549
Pokolbin,961.0,0.52,0.48,52.0,275.0,1.7,0.5,546.0,2.4,2079.0,2600.0,250.0,2.1,13236
Allandale (NSW),73.0,0.52,0.48,46.0,21.0,1.4,0.5,38.0,1.9,1781.0,2640.0,370.0,2.6,10037
Harpers Hill,54.0,0.529,0.47100000000000003,56.0,17.0,1.3,0.6,27.0,2.3,1062.0,2167.0,120.0,2.0,11857
Oswald,88.0,0.511,0.489,42.0,28.0,2.1,0.5,28.0,3.0,2562.0,2230.0,250.0,2.5,13100
Keinbah,116.0,0.47500000000000003,0.525,39.0,32.0,1.9,0.7,43.0,2.7,1875.0,2000.0,280.0,2.5,12084
Lovedale,485.0,0.508,0.49200000000000005,48.0,134.0,1.7,0.7,209.0,2.7,1775.0,2105.0,340.0,2.5,12396
East Branxton,1808.0,0.494,0.506,31.0,481.0,2.0,0.9,696.0,2.7,1710.0,1800.0,330.0,2.0,11346
North Rothbury,898.0,0.489,0.511,33.0,235.0,2.0,1.0,342.0,2.9,1600.0,1792.0,340.0,2.0,13004
Leconfield,146.0,0.532,0.46799999999999997,43.0,46.0,2.1,0.8,60.0,2.7,1775.0,2167.0,254.0,2.5,12291
Dalwood (Singleton - NSW),106.0,0.519,0.48100000000000004,40.0,36.0,1.9,0.8,37.0,3.1,2208.0,1907.0,335.0,2.8,11196
Cessnock,15177.0,0.499,0.501,38.0,3669.0,1.9,0.7,6219.0,2.4,990.0,1473.0,280.0,1.6,10878
Nulkaba,696.0,0.519,0.48100000000000004,41.0,191.0,1.9,1.1,234.0,3.1,1875.0,2117.0,330.0,2.5,13031
Aberdare,2473.0,0.488,0.512,35.0,657.0,1.8,0.7,1067.0,2.5,998.0,1300.0,270.0,1.7,10006
Kearsley,861.0,0.533,0.467,35.0,226.0,1.8,0.9,312.0,2.9,1260.0,1517.0,280.0,2.1,12080
Bellbird,2032.0,0.489,0.511,36.0,539.0,1.8,0.8,808.0,2.7,1175.0,1517.0,280.0,2.0,10268
Bellbird Heights,788.0,0.46399999999999997,0.536,40.0,240.0,1.8,0.8,316.0,2.6,1368.0,1560.0,310.0,2.0,10269
Ellalong,1098.0,0.489,0.511,39.0,302.0,1.9,0.9,405.0,2.8,1370.0,1600.0,300.0,2.1,11398
Kitchener,479.0,0.503,0.49700000000000005,39.0,126.0,1.9,0.9,167.0,2.8,1156.0,1517.0,290.0,2.2,12174
Abernethy,348.0,0.523,0.47700000000000004,32.0,69.0,1.9,1.1,110.0,2.8,1575.0,1733.0,300.0,2.1,10011
Mulbring,597.0,0.479,0.521,43.0,165.0,2.0,0.9,221.0,2.9,1454.0,1950.0,300.0,2.3,12813
Richmond Vale,84.0,0.512,0.488,44.0,21.0,1.8,0.8,31.0,2.7,2250.0,2100.0,0.0,2.8,13363
Stockrington,81.0,0.506,0.494,32.0,17.0,2.4,1.6,28.0,3.4,2125.0,3033.0,0.0,2.5,13661
Buchanan (NSW),197.0,0.485,0.515,41.0,51.0,2.0,0.9,63.0,2.9,1812.0,2084.0,200.0,2.9,10628
Millfield,1006.0,0.488,0.512,39.0,244.0,1.9,0.9,386.0,2.7,1288.0,1430.0,270.0,2.0,12620
Paxton,942.0,0.48700000000000004,0.513,36.0,239.0,1.9,0.9,360.0,2.7,1257.0,1549.0,273.0,2.0,13162
Buttai,54.0,0.49100000000000005,0.509,34.0,12.0,1.9,1.3,16.0,2.8,2249.0,1517.0,0.0,2.8,10724
Black Hill (NSW),560.0,0.49100000000000005,0.509,44.0,145.0,1.9,1.0,197.0,2.9,2166.0,2000.0,350.0,2.7,10385
Elrington,115.0,0.531,0.469,45.0,37.0,1.6,0.8,37.0,3.1,2333.0,2167.0,0.0,3.0,11407
Mount Vincent,367.0,0.529,0.47100000000000003,44.0,99.0,1.7,0.6,137.0,2.8,1875.0,1767.0,198.0,2.5,12799
Brunkerville,204.0,0.5,0.5,47.0,58.0,1.6,0.5,77.0,2.6,1281.0,1875.0,236.0,2.4,10620
Quorrobolong,512.0,0.48100000000000004,0.519,47.0,138.0,1.9,0.8,197.0,2.7,1899.0,2167.0,320.0,2.5,13302
Congewai,179.0,0.495,0.505,54.0,52.0,1.6,0.4,100.0,2.1,1292.0,1500.0,0.0,2.2,11007
Mount View,127.0,0.5,0.5,53.0,28.0,1.3,0.4,73.0,2.2,2150.0,1867.0,0.0,2.4,12798
Greta Main,68.0,0.585,0.41500000000000004,46.0,17.0,1.2,0.7,22.0,2.9,2062.0,1684.0,0.0,3.6,11779
Pelton,86.0,0.402,0.598,37.0,32.0,1.7,0.7,32.0,2.5,1187.0,1387.0,0.0,1.8,13179
Cedar Creek (Cessnock - NSW),33.0,0.387,0.613,44.0,7.0,2.0,0.6,14.0,2.0,1125.0,0.0,0.0,2.0,10868
Sweetmans Creek,59.0,0.484,0.516,45.0,14.0,1.8,1.1,34.0,2.0,1187.0,1935.0,0.0,1.8,13713
Corrabare,10.0,0.529,0.47100000000000003,50.0,5.0,0.0,0.0,9.0,2.0,2250.0,0.0,0.0,2.0,11081
Narone Creek,27.0,0.531,0.469,64.0,9.0,0.0,0.0,16.0,1.7,1187.0,1771.0,0.0,1.7,12899
Paynes Crossing,118.0,0.536,0.46399999999999997,48.0,18.0,1.0,0.1,52.0,2.2,1125.0,1242.0,200.0,1.9,13163
Laguna,216.0,0.525,0.47500000000000003,54.0,45.0,1.8,0.4,120.0,2.1,1156.0,1624.0,275.0,1.8,12237
Wollombi,188.0,0.46299999999999997,0.537,59.0,49.0,1.3,0.3,132.0,1.8,792.0,1679.0,235.0,1.7,14355
Watagan,120.0,0.551,0.449,53.0,32.0,1.5,0.4,103.0,1.9,817.0,1863.0,218.0,1.8,14180
Murrays Run,150.0,0.526,0.474,55.0,45.0,1.3,0.3,98.0,2.1,1181.0,1400.0,250.0,1.9,12855
Bucketty,186.0,0.514,0.48600000000000004,45.0,49.0,1.9,0.8,94.0,2.3,1321.0,1850.0,230.0,1.9,10634
Dairy Arm,24.0,0.5770000000000001,0.423,46.0,6.0,2.0,2.0,29.0,3.0,2125.0,0.0,0.0,0.0,11186
Fernances Crossing,37.0,0.538,0.462,48.0,11.0,0.0,0.0,31.0,2.5,1999.0,2430.0,0.0,2.5,11504
Clarence Town,1994.0,0.505,0.495,42.0,581.0,1.8,0.8,759.0,2.7,1578.0,1733.0,280.0,2.3,10920
Dungog,2025.0,0.48200000000000004,0.518,51.0,523.0,1.8,0.6,967.0,2.2,842.0,1200.0,241.0,1.6,11320
Bendolba,205.0,0.48100000000000004,0.519,39.0,59.0,1.9,0.9,82.0,2.6,942.0,1864.0,258.0,1.7,10291
Tabbil Creek,40.0,0.568,0.43200000000000005,37.0,7.0,0.0,0.0,19.0,1.7,1531.0,2692.0,0.0,2.1,13719
Paterson (NSW),892.0,0.488,0.512,41.0,244.0,1.9,0.9,350.0,2.8,1581.0,1733.0,270.0,2.3,13159
Tocal (NSW),50.0,0.46,0.54,18.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,13885
Webbers Creek,30.0,0.533,0.467,36.0,5.0,0.0,0.0,15.0,1.5,1499.0,2600.0,0.0,2.3,14207
Martins Creek,388.0,0.47500000000000003,0.525,39.0,105.0,1.8,1.0,141.0,2.8,1446.0,1733.0,280.0,2.3,12511
Torryburn (Dungog - NSW),142.0,0.52,0.48,48.0,49.0,1.8,0.8,69.0,2.4,1666.0,2492.0,100.0,2.5,13920
Fishers Hill,36.0,0.457,0.543,48.0,12.0,2.0,0.4,23.0,2.2,1208.0,2167.0,0.0,2.6,11525
Vacy,625.0,0.513,0.48700000000000004,39.0,184.0,1.9,0.8,252.0,2.8,1760.0,1950.0,210.0,2.5,14063
Summer Hill (Dungog - NSW),55.0,0.49,0.51,47.0,17.0,1.6,0.8,27.0,2.4,1812.0,2600.0,0.0,2.5,13686
East Gresford,306.0,0.502,0.498,36.0,80.0,2.0,0.8,151.0,2.6,1062.0,1421.0,200.0,1.8,11350
Gresford,245.0,0.529,0.47100000000000003,50.0,65.0,1.9,0.6,131.0,2.1,1192.0,2006.0,205.0,1.9,11777
Lewinsbrook,43.0,0.579,0.42100000000000004,45.0,12.0,2.0,0.7,19.0,3.0,900.0,0.0,0.0,2.0,12311
Stroud Hill,28.0,0.538,0.462,48.0,11.0,3.0,0.6,15.0,2.5,1624.0,1671.0,0.0,2.6,13678
Main Creek,88.0,0.42700000000000005,0.573,51.0,23.0,1.3,0.4,51.0,2.0,959.0,975.0,165.0,1.9,12446
Fosterton,108.0,0.56,0.44,57.0,25.0,1.6,0.4,63.0,2.0,1187.0,1255.0,220.0,2.6,11553
Carrabolla,10.0,1.0,0.0,38.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10824
Upper Allyn,12.0,0.6920000000000001,0.308,38.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,14013
Lostock,58.0,0.473,0.527,43.0,11.0,2.0,0.4,23.0,2.2,825.0,0.0,0.0,1.7,12392
Mount Rivers,43.0,0.511,0.489,50.0,14.0,0.0,0.0,27.0,2.4,1312.0,0.0,0.0,1.9,12787
Allynbrook,64.0,0.523,0.47700000000000004,53.0,22.0,2.0,0.7,42.0,2.5,1875.0,1478.0,0.0,2.8,10042
Halton,18.0,0.5650000000000001,0.435,59.0,10.0,1.0,0.6,10.0,2.4,0.0,0.0,0.0,2.0,11836
Eccleston,35.0,0.36100000000000004,0.639,57.0,11.0,1.0,0.4,21.0,2.3,575.0,0.0,0.0,2.1,11373
Bandon Grove,119.0,0.504,0.49600000000000005,48.0,32.0,2.0,0.8,63.0,2.7,1375.0,1733.0,93.0,2.0,10171
Munni,40.0,0.649,0.35100000000000003,48.0,4.0,0.0,0.0,30.0,1.9,774.0,0.0,250.0,1.4,12846
Chichester (NSW),29.0,0.433,0.5670000000000001,45.0,4.0,2.0,0.7,29.0,3.0,933.0,0.0,0.0,1.7,10900
Underbank,34.0,0.419,0.5810000000000001,42.0,5.0,1.0,0.4,15.0,1.9,774.0,0.0,213.0,2.1,14009
Salisbury (NSW),58.0,0.542,0.45799999999999996,53.0,16.0,1.0,0.2,37.0,2.0,962.0,0.0,195.0,1.8,13464
Sugarloaf (NSW),71.0,0.515,0.485,52.0,19.0,1.6,0.4,37.0,2.2,1187.0,1788.0,0.0,2.0,13685
Bingleburra,25.0,0.435,0.5650000000000001,50.0,5.0,2.0,0.5,19.0,2.3,900.0,1500.0,0.0,2.0,10368
Cambra,30.0,0.5710000000000001,0.429,56.0,6.0,1.0,0.2,18.0,1.9,1458.0,0.0,0.0,2.5,10766
Flat Tops,25.0,0.467,0.533,60.0,5.0,0.0,0.0,20.0,1.4,1499.0,1363.0,0.0,1.3,11532
Wirragulla,30.0,0.741,0.259,62.0,4.0,1.0,0.3,16.0,2.0,1187.0,0.0,300.0,1.0,14339
Marshdale,44.0,0.47500000000000003,0.525,56.0,16.0,1.0,0.4,19.0,2.2,1125.0,531.0,150.0,2.6,12508
Glen Martin,172.0,0.47000000000000003,0.53,47.0,50.0,1.7,0.7,64.0,2.7,1458.0,1733.0,220.0,2.4,11650
Alison (Dungog - NSW),76.0,0.5579999999999999,0.44200000000000006,45.0,19.0,1.8,0.6,38.0,2.0,1062.0,2079.0,240.0,1.7,10035
Wallarobba,172.0,0.474,0.526,47.0,56.0,1.7,0.6,81.0,2.3,1354.0,2167.0,215.0,2.3,14111
Hilldale,195.0,0.544,0.456,42.0,50.0,2.0,0.8,79.0,2.8,1228.0,2384.0,300.0,2.4,11906
Wallaringa,11.0,0.615,0.385,55.0,3.0,1.0,0.4,6.0,0.0,1062.0,0.0,0.0,2.0,14110
Glen Oak,348.0,0.501,0.499,43.0,97.0,2.0,0.9,116.0,2.9,1694.0,2000.0,110.0,2.9,11652
Glen William,122.0,0.504,0.49600000000000005,43.0,38.0,1.7,0.7,54.0,2.5,1562.0,2453.0,230.0,2.3,11654
Brookfield (NSW),205.0,0.483,0.517,47.0,56.0,1.8,0.8,87.0,2.4,1399.0,1733.0,103.0,2.4,10596
Abermain,2337.0,0.49700000000000005,0.503,37.0,632.0,1.9,0.8,933.0,2.6,1185.0,1367.0,280.0,1.9,10010
Weston (NSW),3693.0,0.49700000000000005,0.503,37.0,973.0,1.9,0.9,1480.0,2.6,1084.0,1387.0,240.0,1.8,14262
Kurri Kurri,6044.0,0.49100000000000005,0.509,40.0,1567.0,1.8,0.7,2594.0,2.4,991.0,1378.0,280.0,1.7,12221
Stanford Merthyr,552.0,0.47600000000000003,0.524,43.0,163.0,1.7,0.6,242.0,2.3,1091.0,1408.0,270.0,1.9,13647
Pelaw Main,1021.0,0.522,0.478,41.0,272.0,1.9,0.8,451.0,2.4,989.0,1300.0,260.0,1.7,13177
Heddon Greta,2047.0,0.49600000000000005,0.504,34.0,595.0,1.8,1.0,751.0,2.9,1780.0,1762.0,350.0,2.1,11888
Neath,490.0,0.49200000000000005,0.508,50.0,118.0,1.8,0.6,219.0,2.3,691.0,1083.0,220.0,1.7,12917
Cliftleigh,888.0,0.5,0.5,24.0,206.0,2.4,1.4,278.0,3.4,1542.0,1636.0,380.0,2.1,10932
Sawyers Gully,500.0,0.5479999999999999,0.452,44.0,131.0,1.8,0.9,176.0,2.8,1569.0,1831.0,430.0,2.8,13499
Loxford,67.0,0.41500000000000004,0.585,37.0,19.0,1.3,0.8,28.0,1.7,966.0,0.0,193.0,2.0,12416
Hunterview,3007.0,0.49100000000000005,0.509,30.0,789.0,2.0,1.0,1103.0,2.9,2113.0,2000.0,320.0,2.0,11955
Redbournberry,232.0,0.498,0.502,41.0,69.0,2.0,1.0,87.0,3.0,2208.0,2000.0,330.0,2.4,13337
Singleton (NSW),5000.0,0.49600000000000005,0.504,40.0,1289.0,1.8,0.7,2364.0,2.3,1250.0,1668.0,260.0,1.6,13549
Singleton Military Area,319.0,0.9570000000000001,0.043,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13551
Whittingham,364.0,0.483,0.517,45.0,112.0,1.7,0.7,143.0,2.8,1625.0,2479.0,180.0,2.3,14279
Wylies Flat,55.0,0.559,0.441,45.0,17.0,1.3,0.8,21.0,3.3,2083.0,3400.0,250.0,2.3,14441
Gowrie (Singleton - NSW),323.0,0.49700000000000005,0.503,39.0,96.0,1.9,1.1,104.0,3.0,2474.0,2000.0,420.0,2.4,11729
Hambledon Hill,10.0,0.385,0.615,65.0,8.0,0.0,0.0,8.0,2.0,3124.0,0.0,0.0,2.0,11837
Glenridding,255.0,0.529,0.47100000000000003,46.0,65.0,1.7,0.5,111.0,2.4,945.0,1798.0,185.0,1.8,11676
Singleton Heights,4693.0,0.5,0.5,33.0,1198.0,1.9,0.9,1911.0,2.6,1597.0,1750.0,280.0,1.8,13550
Rixs Creek,24.0,0.684,0.316,46.0,7.0,1.0,0.4,7.0,3.6,1874.0,0.0,255.0,2.0,13372
Obanvale,17.0,0.5,0.5,35.0,4.0,0.0,0.0,8.0,2.0,1274.0,0.0,0.0,2.0,13066
Wattle Ponds,1123.0,0.513,0.48700000000000004,36.0,303.0,2.2,1.3,355.0,3.3,2564.0,2200.0,450.0,2.4,14193
Fern Gully,64.0,0.534,0.466,52.0,16.0,1.0,0.2,27.0,1.8,1833.0,1100.0,0.0,2.3,11502
Dunolly (NSW),89.0,0.529,0.47100000000000003,50.0,24.0,1.4,0.4,47.0,1.9,1458.0,1733.0,205.0,1.6,11324
McDougalls Hill,144.0,0.594,0.406,45.0,40.0,1.9,0.4,75.0,2.2,1531.0,1788.0,213.0,1.8,12541
Darlington (Singleton - NSW),373.0,0.49200000000000005,0.508,33.0,106.0,1.7,0.7,169.0,2.4,1437.0,1690.0,270.0,1.8,11213
Broke (NSW),579.0,0.515,0.485,40.0,140.0,2.2,1.0,273.0,2.7,1662.0,1734.0,350.0,2.2,10590
Fordwich,92.0,0.511,0.489,38.0,20.0,1.9,0.7,45.0,2.3,1083.0,0.0,240.0,1.9,11541
Gouldsville,13.0,0.3,0.7000000000000001,43.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,11726
Warkworth,49.0,0.521,0.479,34.0,11.0,1.9,1.1,27.0,2.8,1749.0,0.0,268.0,1.9,14152
Mount Thorley,68.0,0.569,0.43100000000000005,41.0,19.0,1.3,0.7,23.0,2.3,2187.0,2535.0,0.0,3.7,12794
Long Point (Singleton - NSW),31.0,0.6920000000000001,0.308,35.0,12.0,0.0,0.0,7.0,2.6,2249.0,2010.0,0.0,1.7,12382
Putty,161.0,0.59,0.41000000000000003,51.0,21.0,1.6,0.3,97.0,2.2,850.0,1174.0,0.0,2.3,13279
Howes Valley,124.0,0.537,0.46299999999999997,50.0,15.0,1.6,0.4,67.0,2.0,866.0,1560.0,0.0,1.8,11948
Garland Valley,11.0,1.0,0.0,55.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,11590
Milbrodale,117.0,0.454,0.546,45.0,25.0,2.3,0.7,49.0,2.4,1125.0,1820.0,0.0,2.0,12612
Bulga (NSW),354.0,0.488,0.512,41.0,103.0,2.0,0.7,144.0,3.0,1553.0,1733.0,325.0,2.1,10651
Doyles Creek,47.0,0.469,0.531,54.0,17.0,2.0,0.4,22.0,2.2,1124.0,1830.0,0.0,2.1,11288
Jerrys Plains,385.0,0.513,0.48700000000000004,35.0,78.0,1.8,0.7,140.0,2.6,1525.0,1766.0,113.0,2.1,12021
Appletree Flat,16.0,0.579,0.42100000000000004,47.0,3.0,0.0,0.0,7.0,1.5,1562.0,0.0,0.0,3.0,10066
Maison Dieu,181.0,0.528,0.47200000000000003,37.0,37.0,1.7,0.8,57.0,2.9,2091.0,2600.0,260.0,2.5,12448
Camberwell (NSW),83.0,0.5,0.5,37.0,23.0,1.9,0.9,34.0,2.5,1375.0,0.0,200.0,2.0,10762
Ravensworth (NSW),12.0,0.429,0.5710000000000001,25.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,13322
Glennies Creek,37.0,0.457,0.543,48.0,11.0,1.0,0.2,24.0,1.9,1291.0,0.0,250.0,2.4,11671
Hebden,42.0,0.488,0.512,39.0,9.0,2.0,0.6,18.0,2.3,2374.0,1950.0,0.0,2.2,11885
Lemington,8.0,0.7270000000000001,0.273,53.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12298
Bridgman,200.0,0.522,0.478,36.0,62.0,1.8,1.0,76.0,2.8,2062.0,2292.0,351.0,2.5,10567
Falbrook,27.0,0.563,0.438,32.0,6.0,0.0,0.0,12.0,1.5,1375.0,0.0,320.0,2.0,11485
Goorangoola,53.0,0.537,0.46299999999999997,49.0,21.0,1.5,0.7,22.0,2.1,1792.0,2167.0,0.0,3.1,11716
Greenlands (Singleton - NSW),85.0,0.46299999999999997,0.538,43.0,17.0,2.1,1.0,37.0,2.8,1333.0,1517.0,194.0,2.4,11765
Middle Falbrook,92.0,0.49,0.51,36.0,32.0,1.6,0.8,36.0,2.7,1875.0,2251.0,310.0,2.4,12604
