,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling,SSC_CODE
Bohena Creek,167.0,0.506,0.494,47.0,47.0,2.0,0.9,63.0,2.8,1642.0,1733.0,135.0,2.5,10444
Yarrie Lake,65.0,0.46299999999999997,0.537,52.0,17.0,1.3,0.6,30.0,2.1,1312.0,1259.0,0.0,2.5,14488
Jacks Creek,135.0,0.526,0.474,50.0,35.0,1.6,0.6,64.0,2.2,1125.0,1560.0,0.0,2.2,11993
Edgeroi,109.0,0.5660000000000001,0.434,42.0,34.0,1.4,0.5,59.0,2.4,1625.0,1733.0,100.0,2.3,11380
Gwabegar,162.0,0.48700000000000004,0.513,46.0,38.0,1.9,0.7,76.0,2.3,739.0,400.0,50.0,1.9,11823
Cuttabri,43.0,0.526,0.474,51.0,9.0,1.0,0.3,26.0,2.2,749.0,0.0,0.0,2.7,11182
Gunnedah,9726.0,0.49200000000000005,0.508,38.0,2508.0,1.9,0.7,4298.0,2.4,1270.0,1517.0,250.0,1.8,11812
Curlewis (NSW),771.0,0.522,0.478,43.0,214.0,1.8,0.7,334.0,2.5,1100.0,1000.0,210.0,2.1,11169
Boggabri,1130.0,0.505,0.495,41.0,281.0,2.0,0.7,584.0,2.4,1162.0,1255.0,250.0,1.9,10442
Carroll,337.0,0.528,0.47200000000000003,38.0,84.0,2.0,0.8,149.0,2.6,1196.0,1150.0,160.0,2.2,10832
Piallaway,132.0,0.5,0.5,47.0,33.0,1.9,0.8,72.0,2.4,1149.0,1083.0,25.0,2.4,13196
Breeza,146.0,0.534,0.466,44.0,47.0,1.4,0.6,72.0,2.6,1300.0,566.0,144.0,2.2,10561
Caroona,202.0,0.5479999999999999,0.452,40.0,50.0,1.8,0.8,99.0,2.6,939.0,439.0,126.0,1.5,10823
Spring Ridge,240.0,0.557,0.443,43.0,73.0,1.8,0.6,136.0,2.2,1330.0,649.0,60.0,2.1,13619
Wean,25.0,0.667,0.33299999999999996,40.0,8.0,1.4,0.8,9.0,3.6,1749.0,0.0,0.0,3.5,14206
Emerald Hill,142.0,0.543,0.457,43.0,36.0,1.9,0.7,59.0,2.6,1792.0,1755.0,45.0,2.0,11412
