"RA_2006_CODE","RA_2006_NAME","SSC_2006_CODE","SSC_2006_NAME","RATIO","PERCENT"
"10","Major Cities of Australia","11555","Lakemba",1,100
"10","Major Cities of Australia","11557","Lalor Park",1,100
"10","Major Cities of Australia","11559","Lane Cove",1,100
"10","Major Cities of Australia","11561","Lane Cove North",1,100
"10","Major Cities of Australia","11563","Lane Cove West",1,100
"10","Major Cities of Australia","11565","Lansdowne (Bankstown)",1,100
"10","Major Cities of Australia","11567","Lansvale",1,100
"10","Major Cities of Australia","11569","Lapstone",1,100
"10","Major Cities of Australia","11571","Lavender Bay",1,100
"10","Major Cities of Australia","11573","Lawson",1,100
"10","Major Cities of Australia","11575","Leichhardt",1,100
"10","Major Cities of Australia","11577","Leonay",1,100
"10","Major Cities of Australia","11579","Lethbridge Park",1,100
"10","Major Cities of Australia","11581","Leumeah",1,100
"10","Major Cities of Australia","11583","Leura",1,100
"10","Major Cities of Australia","11585","Lewisham",1,100
"10","Major Cities of Australia","11587","Liberty Grove",1,100
"10","Major Cities of Australia","11589","Lidcombe",1,100
"10","Major Cities of Australia","11591","Lilli Pilli (Sutherland Shire)",1,100
"10","Major Cities of Australia","11593","Lilyfield",1,100
"10","Major Cities of Australia","11595","Linden",1,100
"10","Major Cities of Australia","11597","Lindfield",1,100
"10","Major Cities of Australia","11599","Linley Point",1,100
"10","Major Cities of Australia","11601","Little Bay",1,100
"10","Major Cities of Australia","11603","Liverpool",1,100
"10","Major Cities of Australia","11605","Loftus",1,100
"10","Major Cities of Australia","11607","Long Point (Campbelltown)",1,100
"10","Major Cities of Australia","11609","Longueville",1,100
"10","Major Cities of Australia","11611","Lugarno",1,100
"10","Major Cities of Australia","11613","Lurnea",1,100
"10","Major Cities of Australia","11615","Macquarie Fields",1,100
"10","Major Cities of Australia","11617","Macquarie Links",1,100
"10","Major Cities of Australia","11619","Macquarie Park",1,100
"10","Major Cities of Australia","11621","Malabar",1,100
"10","Major Cities of Australia","11623","Manly",1,100
"10","Major Cities of Australia","11625","Manly Vale",1,100
"10","Major Cities of Australia","11627","Marayong",1,100
"10","Major Cities of Australia","11629","Maroubra",1,100
"10","Major Cities of Australia","11631","Marrickville",1,100
"10","Major Cities of Australia","11633","Marsden Park",1,100
"10","Major Cities of Australia","11635","Marsfield",1,100
"10","Major Cities of Australia","11637","Mascot",1,100
"10","Major Cities of Australia","11639","Matraville",1,100
"10","Major Cities of Australia","11641","Mays Hill",1,100
"10","Major Cities of Australia","11643","McMahons Point",1,100
"10","Major Cities of Australia","11645","Meadowbank",1,100
"10","Major Cities of Australia","11647","Melrose Park",1,100
"10","Major Cities of Australia","11649","Menai",1,100
"10","Major Cities of Australia","11651","Merrylands",1,100
"10","Major Cities of Australia","11653","Merrylands West",1,100
"10","Major Cities of Australia","11655","Middle Cove",1,100
"10","Major Cities of Australia","11657","Miller",1,100
"10","Major Cities of Australia","11659","Millers Point",1,100
"10","Major Cities of Australia","11661","Milperra",1,100
"10","Major Cities of Australia","11663","Milsons Point",1,100
"10","Major Cities of Australia","11665","Minchinbury",1,100
"10","Major Cities of Australia","11667","Minto",1,100
"10","Major Cities of Australia","11669","Miranda",1,100
"10","Major Cities of Australia","11671","Mona Vale",1,100
"10","Major Cities of Australia","11673","Monterey",1,100
"10","Major Cities of Australia","11675","Moorebank",1,100
"10","Major Cities of Australia","11677","Mortdale",1,100
"10","Major Cities of Australia","11679","Mortlake",1,100
"10","Major Cities of Australia","11681","Mosman",1,100
"10","Major Cities of Australia","11683","Mount Annan",1,100
"10","Major Cities of Australia","11685","Mount Colah",1,100
"10","Major Cities of Australia","11687","Mount Druitt",1,100
"10","Major Cities of Australia","11689","Mount Kuring-gai",1,100
"10","Major Cities of Australia","11691","Mount Lewis",1,100
"10","Major Cities of Australia","11693","Mount Pritchard",1,100
"10","Major Cities of Australia","11695","Mount Riverview",1,100
"10","Major Cities of Australia","11697","Narellan",1,100
"10","Major Cities of Australia","11699","Narellan Vale",1,100
"10","Major Cities of Australia","11701","Naremburn",1,100
"10","Major Cities of Australia","11703","Narrabeen",1,100
"10","Major Cities of Australia","11705","Narraweena",1,100
"10","Major Cities of Australia","11707","Narwee",1,100
"10","Major Cities of Australia","11709","Neutral Bay",1,100
"10","Major Cities of Australia","11711","Newington",1,100
"10","Major Cities of Australia","11713","Newport",1,100
"10","Major Cities of Australia","11715","Newtown",1,100
"10","Major Cities of Australia","11717","Normanhurst",1,100
"10","Major Cities of Australia","11719","North Balgowlah",1,100
"10","Major Cities of Australia","11721","North Bondi",1,100
"10","Major Cities of Australia","11723","North Curl Curl",1,100
"10","Major Cities of Australia","11725","North Epping",1,100
"10","Major Cities of Australia","11727","North Manly",1,100
"10","Major Cities of Australia","11729","North Narrabeen",1,100
"10","Major Cities of Australia","11731","North Parramatta",1,100
"10","Major Cities of Australia","11733","North Rocks",1,100
"10","Major Cities of Australia","11735","North Ryde",1,100
"10","Major Cities of Australia","11737","North St Marys",1,100
"10","Major Cities of Australia","11739","North Strathfield",1,100
"10","Major Cities of Australia","11741","North Sydney",1,100
"10","Major Cities of Australia","11743","North Turramurra",1,100
"10","Major Cities of Australia","11745","North Wahroonga",1,100
"10","Major Cities of Australia","11747","North Willoughby",1,100
"10","Major Cities of Australia","11749","Northbridge",1,100
"10","Major Cities of Australia","11751","Northmead",1,100
"10","Major Cities of Australia","11753","Northwood",1,100
"10","Major Cities of Australia","11755","Oakhurst",1,100
"10","Major Cities of Australia","11757","Oatlands",1,100
"10","Major Cities of Australia","11759","Oatley",1,100
"10","Major Cities of Australia","11761","Old Guildford",1,100
"10","Major Cities of Australia","11763","Old Toongabbie",1,100
"10","Major Cities of Australia","11765","Oxley Park",1,100
"10","Major Cities of Australia","11767","Oyster Bay",1,100
"10","Major Cities of Australia","11769","Paddington",1,100
"10","Major Cities of Australia","11771","Padstow",1,100
"10","Major Cities of Australia","11773","Padstow Heights",1,100
"10","Major Cities of Australia","11775","Pagewood",1,100
"10","Major Cities of Australia","11777","Palm Beach",1,100
"10","Major Cities of Australia","11779","Panania",1,100
"10","Major Cities of Australia","11781","Parklea",1,100
"10","Major Cities of Australia","11783","Parramatta",1,100
"10","Major Cities of Australia","11785","Peakhurst",1,100
"10","Major Cities of Australia","11787","Peakhurst Heights",1,100
"10","Major Cities of Australia","11789","Pemulwuy",1,100
"10","Major Cities of Australia","11791","Pendle Hill",1,100
"10","Major Cities of Australia","11793","Pennant Hills",1,100
"10","Major Cities of Australia","11795","Penrith",1,100
"10","Major Cities of Australia","11797","Penshurst",1,100
"10","Major Cities of Australia","11799","Petersham",1,100
"10","Major Cities of Australia","11801","Phillip Bay",1,100
"10","Major Cities of Australia","11803","Picnic Point",1,100
"10","Major Cities of Australia","11805","Plumpton",1,100
"10","Major Cities of Australia","11807","Point Piper",1,100
"10","Major Cities of Australia","11809","Potts Point",1,100
"10","Major Cities of Australia","11811","Prairiewood",1,100
"10","Major Cities of Australia","11813","Prestons",1,100
"10","Major Cities of Australia","11815","Prospect",1,100
"10","Major Cities of Australia","11817","Punchbowl (Canterbury and Bankstown)",1,100
"10","Major Cities of Australia","11819","Putney",1,100
"10","Major Cities of Australia","11821","Pymble",1,100
"10","Major Cities of Australia","11823","Pyrmont",1,100
"10","Major Cities of Australia","11825","Quakers Hill",1,100
"10","Major Cities of Australia","11827","Queens Park",1,100
"10","Major Cities of Australia","11829","Queenscliff",1,100
"10","Major Cities of Australia","11831","Raby",1,100
"10","Major Cities of Australia","11833","Ramsgate",1,100
"10","Major Cities of Australia","11835","Ramsgate Beach",1,100
"10","Major Cities of Australia","11837","Randwick",1,100
"10","Major Cities of Australia","11839","Redfern",1,100
"10","Major Cities of Australia","11841","Regents Park",1,100
"10","Major Cities of Australia","11843","Regentville",1,100
"10","Major Cities of Australia","11845","Revesby",1,100
"10","Major Cities of Australia","11847","Revesby Heights",1,100
"10","Major Cities of Australia","11849","Rhodes",1,100
"10","Major Cities of Australia","11851","Riverstone",1,100
"10","Major Cities of Australia","11853","Riverview (Lane Cove)",1,100
"10","Major Cities of Australia","11855","Riverwood",1,100
"10","Major Cities of Australia","11857","Rockdale",1,100
"10","Major Cities of Australia","11859","Rodd Point",1,100
"10","Major Cities of Australia","11861","Rooty Hill",1,100
"10","Major Cities of Australia","11863","Rose Bay",1,100
"10","Major Cities of Australia","11865","Rosebery",1,100
"10","Major Cities of Australia","11867","Roselands",1,100
"10","Major Cities of Australia","11869","Rosemeadow",1,100
"10","Major Cities of Australia","11871","Roseville",1,100
"10","Major Cities of Australia","11873","Roseville Chase",1,100
"10","Major Cities of Australia","11875","Rouse Hill",1,100
"10","Major Cities of Australia","11877","Rozelle",1,100
"10","Major Cities of Australia","11879","Ruse",1,100
"10","Major Cities of Australia","11881","Rushcutters Bay",1,100
"10","Major Cities of Australia","11883","Russell Lea",1,100
"10","Major Cities of Australia","11885","Rydalmere",1,100
"10","Major Cities of Australia","11887","Ryde",1,100
"10","Major Cities of Australia","11889","Sadleir",1,100
"10","Major Cities of Australia","11891","Sandringham",1,100
"10","Major Cities of Australia","11893","Sans Souci",1,100
"10","Major Cities of Australia","11895","Schofields",1,100
"10","Major Cities of Australia","11897","Scotland Island",1,100
"10","Major Cities of Australia","11899","Seaforth",1,100
"10","Major Cities of Australia","11901","Sefton",1,100
"10","Major Cities of Australia","11903","Seven Hills",1,100
"10","Major Cities of Australia","11905","Shalvey",1,100
"10","Major Cities of Australia","11907","Silverwater (Auburn)",1,100
"10","Major Cities of Australia","11909","Smeaton Grange",1,100
"10","Major Cities of Australia","11911","Smithfield",1,100
"10","Major Cities of Australia","11913","South Coogee",1,100
"10","Major Cities of Australia","11915","South Granville",1,100
"10","Major Cities of Australia","11917","South Hurstville",1,100
"10","Major Cities of Australia","11919","South Penrith",1,100
"10","Major Cities of Australia","11921","South Turramurra",1,100
"10","Major Cities of Australia","11923","South Wentworthville",1,100
"10","Major Cities of Australia","11925","Springwood",1,100
"10","Major Cities of Australia","11927","St Andrews",1,100
"10","Major Cities of Australia","11929","St Clair (Penrith)",1,100
"10","Major Cities of Australia","11931","St Helens Park",1,100
"10","Major Cities of Australia","11933","St Ives",1,100
"10","Major Cities of Australia","11935","St Ives Chase",1,100
"10","Major Cities of Australia","11937","St Johns Park",1,100
"10","Major Cities of Australia","11939","St Leonards",1,100
"10","Major Cities of Australia","11941","St Marys",1,100
"10","Major Cities of Australia","11943","St Peters",1,100
"10","Major Cities of Australia","11945","Stanhope Gardens",1,100
"10","Major Cities of Australia","11947","Stanmore",1,100
"10","Major Cities of Australia","11949","Strathfield",1,100
"10","Major Cities of Australia","11951","Strathfield South",1,100
"10","Major Cities of Australia","11953","Summer Hill (Ashfield)",1,100
"10","Major Cities of Australia","11955","Surry Hills",1,100
"10","Major Cities of Australia","11957","Sutherland",1,100
"10","Major Cities of Australia","11959","Sydenham",1,100
"10","Major Cities of Australia","11961","Sydney",1,100
"10","Major Cities of Australia","11963","Sylvania",1,100
"10","Major Cities of Australia","11965","Sylvania Waters",1,100
"10","Major Cities of Australia","11967","Tamarama",1,100
"10","Major Cities of Australia","11969","Taren Point",1,100
"10","Major Cities of Australia","11971","Tempe",1,100
"10","Major Cities of Australia","11973","Tennyson Point",1,100
"10","Major Cities of Australia","11975","Terrey Hills",1,100
"10","Major Cities of Australia","11977","The Rocks (Sydney)",1,100
"10","Major Cities of Australia","11979","Thornleigh",1,100
"10","Major Cities of Australia","11981","Toongabbie",1,100
"10","Major Cities of Australia","11983","Tregear",1,100
"10","Major Cities of Australia","11985","Turramurra",1,100
"10","Major Cities of Australia","11987","Turrella",1,100
"10","Major Cities of Australia","11989","Ultimo",1,100
"10","Major Cities of Australia","11991","Valley Heights",1,100
"10","Major Cities of Australia","11993","Vaucluse",1,100
"10","Major Cities of Australia","11995","Villawood",1,100
"10","Major Cities of Australia","11997","Voyager Point",1,100
"10","Major Cities of Australia","11999","Wahroonga",1,100
"10","Major Cities of Australia","12001","Waitara",1,100
"10","Major Cities of Australia","12003","Wakeley",1,100
"10","Major Cities of Australia","12005","Wareemba",1,100
"10","Major Cities of Australia","12007","Warrawee",1,100
"10","Major Cities of Australia","12009","Warriewood",1,100
"10","Major Cities of Australia","12011","Warrimoo",1,100
"10","Major Cities of Australia","12013","Warwick Farm",1,100
"10","Major Cities of Australia","12015","Waterloo",1,100
"10","Major Cities of Australia","12017","Watsons Bay",1,100
"10","Major Cities of Australia","12019","Wattle Grove",1,100
"10","Major Cities of Australia","12021","Waverley",1,100
