mass_var,dist_spec,target_key,source,target,dist,mass_source,mass_target,gravity,gravity_rank
n_hospitals,radial_distance,2026,2231,2026,0.1540083380939045,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2232,2026,0.2554202554529037,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2233,2026,0.31000165533655644,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2234,2026,0.29526923909875663,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2747,2026,0.5443023417835716,4,0.1,1,113
n_hospitals,radial_distance,2026,2748,2026,0.5481150197722875,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2749,2026,0.6159399200627811,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2750,2026,0.6096320831962917,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2759,2026,0.4880260912139397,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2760,2026,0.5078793322169747,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2761,2026,0.4499769698945036,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2762,2026,0.44087414358414057,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2763,2026,0.4137090150926091,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2765,2026,0.4781980670423451,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2766,2026,0.43752181280374713,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2767,2026,0.41968669423482363,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2768,2026,0.37846950273572094,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2769,2026,0.41073975407877905,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2770,2026,0.47791020035737025,1,0.1,0,1
n_hospitals,radial_distance,2026,2026,2026,NA,NA,NA,648,214
n_hospitals,radial_distance,2145,2000,2145,0.260179793765664,1,8,118,159
n_hospitals,radial_distance,2145,2006,2145,0.2447090965580691,1,8,134,162
n_hospitals,radial_distance,2145,2007,2145,0.2529543201167865,0.1,8,13,54
n_hospitals,radial_distance,2145,2008,2145,0.2539484540890139,0.1,8,12,45
n_hospitals,radial_distance,2145,2009,2145,0.24596487981486093,0.1,8,13,54
n_hospitals,radial_distance,2145,2010,2145,0.26995307793016154,5,8,549,197
n_hospitals,radial_distance,2145,2011,2145,0.27645634671673913,1,8,105,155
n_hospitals,radial_distance,2145,2015,2145,0.25697969585044733,0.1,8,12,45
